인덱스,장학금명,재단,장학종류,선발인원,장학혜택,선발대상,신청기간,조회수
2674,서울간호사회 석·박사장학 (2020년),서울특별시간호사회,장학금,총 20명 선발,장학금지급 : 최대 150만원,대학원생,2020. 05. 15. (금) ~ 2020. 06. 15. (월),조회 : 329
2675,서울 강북구 장학 (2020년),강북구,장학금,총 51명 선발,장학금지급 : 최대 360만원,"고등학생, 대학생, 전문대생",2020. 06. 01. (월) ~ 2020. 06. 19. (금),조회 : 660
2676,서울시 청년월세지원,서울시,기숙사/주거지원,"총 5,000명 선발",거주 지원 : 최대 200만원,"대학생, 전문대생, 대학원생, 기타/일반",2020. 06. 16. (화) ~ 2020. 06. 29. (월),"조회 : 1,638"
2678,용산구 꿈나무장학,용산구,장학금,총 400명 선발,장학금지급 : 최대 50만원,"초등학생, 중학생, 고등학생",2020. 05. 25. (월) ~ 2020. 06. 17. (수),조회 : 434
2679,서울장학재단 청춘 Start 장학,서울장학재단,장학금,총 20명 선발,장학금지급 : 최대 300만원,"대학생, 전문대생",2020. 06. 08. (월) ~ 2020. 06. 19. (금),"조회 : 1,322"
2680,완주군 학자금대출 이자지원 (2020년 상반기),완주군,대출지원,인원 미정,대출 지원 : 최대 -만원,대학생,2020. 05. 20. (수) ~ 2020. 06. 26. (금),조회 : 253
2681,경기도 광주 코로나 특별장학,광주시민장학회,장학금,총 100명 선발,장학금지급 : 최대 50만원,"대학생, 전문대생","(1차) 2020. 06. 08. (월) ~ 2020. 06. 12. (금)
(2차) 2020. 06. 22. (월) ~ 2020. 06. 26. (금)",조회 : 479
2682,건축설계 인재육성사업,국토교통과학기술진흥원,"장학금, 연수/연구장학",총 60명 선발,"장학금지급 : 최대 3,000만원","대학생, 기타/일반",2020. 06. 08. (월) ~ 2020. 06. 19. (금),조회 : 466
2683,지역우수인재 히어로 양성사업 (2020년),한국장학재단,취업연계/산학장학,인원 미정,"근로비/수당 : 최대 1,204만원",대학생,2020. 06. 01. (월) ~ 2020. 06. 22. (월),"조회 : 1,768"
2684,경기도 청년기본소득 (2020년 3분기),경기도,기타장학,인원 미정,기타혜택 : 최대 100만원,기타/일반,2020. 06. 01. (월) ~ 2020. 06. 22. (월),조회 : 967
2685,종로 문화기획자 양성 프로그램,종로문화재단,기타장학,총 20명 선발,활동 지원 : 최대 -만원,기타/일반,2020. 06. 08. (월) ~ 2020. 06. 26. (금),조회 : 673
2686,포스코사이언스 펠로십 (2021년),포스코청암재단,연수/연구장학,총 40명 선발,"연수/연구지원 : 최대 10,000만원","대학생, 대학원생, 기타/일반",2020. 06. 01. (월) ~ 2020. 06. 30. (화),"조회 : 1,285"
2687,인천시 학자금대출 이자지원 (2020년 상반기),인천광역시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생, 기타/일반",2020. 06. 11. (목) ~ 2020. 07. 10. (금),조회 : 598
2688,충남인재육성재단 거주비지원 장학 (2020년),충청남도인재육성재단,"장학금, 기숙사/주거지원",총 50명 선발,거주 지원 : 최대 200만원,"대학생, 전문대생",2020. 06. 23. (화) ~ 2020. 07. 16. (목),"조회 : 1,524"
2689,대학·대학원생 OK생활장학 (2020년 2학기),OK배정장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,"대학생, 대학원생",2020. 06. 01. (월) ~ 2020. 07. 03. (금),"조회 : 6,186"
2690,양촌장학회 장학,양촌장학회,장학금,총 10명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생",2020. 06. 08. (월) ~ 2020. 06. 19. (금),조회 : 824
2691,인송문화재단 장학 (2020년 1학기),인송문화재단,장학금,인원 미정,장학금지급 : 최대 200만원,대학생,2020. 06. 10. (수) ~ 2020. 07. 03. (금),"조회 : 3,295"
2692,제 24회 이한열 장학 (2020년 1학기),(사)이한열기념사업회,장학금,총 10명 선발,장학금지급 : 최대 150만원,"대학생, 전문대생",2020. 06. 15. (월) ~ 2020. 06. 30. (화),"조회 : 2,513"
2693,월정김용복 장학 (2020년 하반기),용복장학회,장학금,인원 미정,장학금지급 : 최대 -만원,"중학생, 고등학생, 대학생","(1차) 2020. 06. 01. (월) ~ 2020. 07. 03. (금)
(2차) 2020. 08. 03. (월) ~ 2020. 08. 31. (월)","조회 : 6,457"
2694,영등포구 코로나 희망일자리사업,영등포구,기타장학,총 861명 선발,근로비/수당 : 최대 -만원,기타/일반,2020. 06. 08. (월) ~ 2020. 06. 19. (금),조회 : 261
2695,송파구 코로나 희망일자리사업,송파구,기타장학,"총 1,072명 선발",근로비/수당 : 최대 -만원,기타/일반,2020. 06. 01. (월) ~ 2020. 06. 19. (금),조회 : 183
2696,강남구 코로나 희망일자리사업,강남구,기타장학,"총 1,437명 선발",근로비/수당 : 최대 -만원,기타/일반,2020. 06. 08. (월) ~ 2020. 06. 19. (금),조회 : 207
2697,제 42기 뉴질랜드 영어·선교 장학,Auckland Edinburgh College,연수/연구장학,인원 미정,연수/연구지원 : 최대 -만원,"대학생, 전문대생, 대학원생, 기타/일반",2020. 06. 01. (월) ~ 2020. 06. 27. (토),조회 : 883
2698,코로나19 긴급 고용안정지원금,고용노동부,기타장학,인원 미정,기타혜택 : 최대 -만원,기타/일반,2020. 06. 01. (월) ~ 2020. 07. 20. (월),"조회 : 2,200"
2699,인탑스 평산 장학 (2020년 1학기),인탑스평산장학재단,장학금,인원 미정,"장학금지급 : 최대 1,200만원",대학생,2020. 06. 12. (금) ~ 2020. 06. 19. (금),조회 : 635
2700,천안시 학자금대출 이자지원 (2020년 1학기),천안시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생, 기타/일반",2020. 06. 08. (월) ~ 2020. 06. 22. (월),조회 : 284
2701,지구촌 신학장학 (2020년 1학기),지구촌교회,장학금,총 00명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생, 대학생, 기타/일반",2020. 06. 30. (화) ~ 2020. 07. 14. (화),"조회 : 3,013"
2702,삼아장학 프로그램 (2020년 2학기),삼아사운드,장학금,총 19명 선발,장학금지급 : 최대 200만원,"대학생, 전문대생",2020. 07. 06. (월) ~ 2020. 07. 17. (금),"조회 : 3,555"
2703,인천시 인재육성장학 (2020년 상반기),(재)인천인재육성재단,장학금,총 508명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2020. 06. 16. (화) ~ 2020. 06. 28. (일),"조회 : 2,929"
2704,도봉구 희망일자리사업,도봉구,"근로장학, 기타장학","총 2,036명 선발",근로비/수당 : 최대 -만원,기타/일반,2020. 06. 08. (월) ~ 2020. 06. 29. (월),조회 : 479
2705,강원 폐광지역 하이원 중·고등학생 장학 (2020년),강원랜드,장학금,총 493명 선발,장학금지급 : 최대 240만원,"중학생, 고등학생",2020. 06. 10. (수) ~ 2020. 06. 30. (화),조회 : 487
2706,거제시 재능봉사 장학,거제시,"장학금, 장학프로그램",총 17명 선발,장학금지급 : 최대 150만원,대학생,2020. 06. 15. (월) ~ 2020. 06. 30. (화),조회 : 662
2707,2020년 5.18희망장학,5·18기념재단,장학금,총 20명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생","(1차) 2020. 06. 09. (화) ~ 2020. 07. 09. (목)
(2차) 2020. 09. 28. (월) ~ 2020. 10. 07. (수)","조회 : 4,154"
2708,희망/동행 삼일장학 (2020년 2학기),삼일장학회,장학금,총 3명 선발,장학금지급 : 최대 250만원,대학생,2020. 06. 09. (화) ~ 2020. 07. 28. (화),"조회 : 6,323"
2709,삼일장학회 충의장학 (2020년 2학기),삼일장학회,장학금,총 14명 선발,장학금지급 : 최대 250만원,대학생,2020. 06. 09. (화) ~ 2020. 07. 28. (화),"조회 : 4,083"
2710,힘내라! 희망전남 특별 장학,전남인재평생교육진흥원,장학금,인원 미정,장학금지급 : 최대 60만원,"대학생, 전문대생",2020. 06. 17. (수) ~ 2020. 06. 24. (수),조회 : 636
2711,사회적기업 종사자 자녀장학,한국사회적기업진흥원,장학금,총 10명 선발,장학금지급 : 최대 100만원,고등학생,2020. 06. 03. (수) ~ 2020. 06. 24. (수),조회 : 508
2712,관악구 청년 커뮤니티 지원,관악구,기타장학,인원 미정,기타혜택 : 최대 100만원,"대학생, 전문대생, 대학원생, 기타/일반",2020. 06. 11. (목) ~ 2020. 06. 25. (목),조회 : 325
2713,양천구 청년도전 프로젝트,양천구,기타장학,인원 미정,기타혜택 : 최대 300만원,"대학생, 전문대생, 대학원생, 기타/일반",2020. 06. 10. (수) ~ 2020. 06. 25. (목),조회 : 256
2714,광산장학회 코로나19 장학,광산장학회,장학금,총 100명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2020. 06. 11. (목) ~ 2020. 06. 26. (금),조회 : 529
2715,원모평애장학원 효정평화장학 (2020년),HJ세계평화재단 원모평애장학원,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2020. 06. 17. (수) ~ 2020. 06. 30. (화),조회 : 877
2716,희망브리지 명륜 장학,희망브리지 전국재해구호협회,장학금,총 20명 선발,장학금지급 : 최대 700만원,"초등학생, 중학생, 고등학생, 대학생",2020. 06. 01. (월) ~ 2020. 06. 30. (화),"조회 : 1,723"
2717,서울시 음악영재 장학 (2020년),서울시,장학금,인원 미정,장학금지급 : 최대 -만원,초등학생,2020. 06. 15. (월) ~ 2020. 06. 30. (화),조회 : 254
2718,2020 기후변화장학금,국회기후변화포럼,장학금,총 5명 선발,장학금지급 : 최대 300만원,대학생,2020. 06. 15. (월) ~ 2020. 07. 05. (일),"조회 : 1,932"
2719,소아암완치자 희망장학 (2020년),한국백혈병어린이재단,장학금,인원 미정,장학금지급 : 최대 200만원,"대학생, 대학원생, 기타/일반",2020. 06. 08. (월) ~ 2020. 07. 12. (일),조회 : 583
2720,서울희망 예체능장학 (2020년),서울장학재단,장학금,총 160명 선발,장학금지급 : 최대 300만원,고등학생,2020. 06. 22. (월) ~ 2020. 07. 03. (금),조회 : 575
2721,KSD꿈이룸장학 (2020년 상반기),KSD나눔재단,장학금,총 25명 선발,장학금지급 : 최대 360만원,고등학생,2020. 06. 16. (화) ~ 2020. 07. 03. (금),"조회 : 1,565"
2722,서울희망 SOS장학 (2020년 3차),서울장학재단,장학금,총 50명 선발,장학금지급 : 최대 100만원,"중학생, 고등학생, 대학생, 전문대생",2020. 06. 22. (월) ~ 2020. 07. 21. (화),"조회 : 3,576"
2723,일촌장학재단 장학,일촌장학재단,장학금,인원 미정,장학금지급 : 최대 200만원,대학생,2020. 06. 23. (화) ~ 2020. 07. 06. (월),"조회 : 2,773"
2724,서울시 청년수당 (2020년),서울특별시,기타장학,"총 10,000명 선발",기타혜택 : 최대 300만원,기타/일반,2020. 06. 30. (화) ~ 2020. 07. 03. (금),조회 : 755
2725,kt희망나눔재단 창의혁신 장학 (2020년 1학기),kt그룹희망나눔재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2020. 06. 25. (목) ~ 2020. 07. 07. (화),"조회 : 2,858"
2726,평택시 코로나 특별장학,평택시장학재단,장학금,총 100명 선발,장학금지급 : 최대 100만원,대학생,2020. 06. 29. (월) ~ 2020. 07. 10. (금),조회 : 737
2727,소상공인 디딤돌 장학 (2020년),서울장학재단,장학금,총 150명 선발,장학금지급 : 최대 100만원,"중학생, 고등학생, 대학생",2020. 06. 22. (월) ~ 2020. 07. 21. (화),"조회 : 1,741"
2728,바로바로론 사랑나눔 장학 (2020년 하반기),바로크레디트대부,장학금,총 00명 선발,장학금지급 : 최대 100만원,대학생,2020. 07. 13. (월) ~ 2020. 07. 24. (금),"조회 : 6,865"
2729,경기도 학자금대출 이자지원 (2020년 하반기),경기도,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생, 대학원생, 기타/일반",2020. 06. 22. (월) ~ 2020. 07. 31. (금),"조회 : 1,390"
2730,종근당고촌학사 입사생 모집 (2020년 하반기),종근당고촌재단,기숙사/주거지원,총 00명 선발,거주 지원 : 최대 -만원,대학생,2020. 06. 22. (월) ~ 2020. 07. 31. (금),"조회 : 1,669"
2731,토성장학회 장학,토성장학회,장학금,총 11명 선발,장학금지급 : 최대 100만원,"고등학생, 대학생",2020. 06. 15. (월) ~ 2020. 07. 14. (화),"조회 : 2,437"
2732,극동PK장학재단 장학,극동PK장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,"중학생, 고등학생, 대학생, 대학원생",2020. 06. 22. (월) ~ 2020. 07. 17. (금),"조회 : 3,109"
2733,한국증권금융 우리사주장학,한국증권금융 꿈나눔재단,장학금,인원 미정,장학금지급 : 최대 200만원,"중학생, 고등학생, 대학생, 전문대생",2020. 06. 22. (월) ~ 2020. 07. 17. (금),"조회 : 2,265"
2734,광주 남구장학회 코로나 특별장학,광주 남구장학회,장학금,총 14명 선발,장학금지급 : 최대 100만원,"고등학생, 대학생",2020. 06. 22. (월) ~ 2020. 07. 03. (금),조회 : 322
2735,광주 남구장학회 행복나눔 장학,광주 남구장학회,장학금,총 13명 선발,장학금지급 : 최대 100만원,"고등학생, 대학생",2020. 06. 22. (월) ~ 2020. 07. 03. (금),조회 : 262
2737,CJ음악장학(해외음악대학원) (2020년),CJ문화재단,"장학금, 연수/연구장학",인원 미정,장학금지급 : 최대 -만원,"대학원생, 기타/일반",2020. 05. 25. (월) ~ 2020. 07. 06. (월),조회 : 433
2738,사랑의 날개 장애인 장학 (2020년),사회복지법인 사랑의 날개,장학금,총 10명 선발,장학금지급 : 최대 100만원,대학생,2020. 06. 22. (월) ~ 2020. 07. 10. (금),조회 : 646
2739,농림축산식품부 장학 (2020년 2학기),농어촌희망재단,장학금,"총 3,300명 선발",장학금지급 : 최대 -만원,"대학생, 전문대생","(1차) 2020. 07. 01. (수) ~ 2020. 07. 16. (목)
(2차) 2020. 09. 01. (화) ~ 2020. 09. 16. (수)","조회 : 2,226"
2740,인천 서구 서동이장학 (2020년),서동이장학회,장학금,총 130명 선발,장학금지급 : 최대 500만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2020. 07. 09. (목) ~ 2020. 07. 23. (목),"조회 : 1,154"
2741,수산후계인력 장학 (2020년 2학기),농어촌희망재단,장학금,인원 미정,"장학금지급 : 최대 2,000만원","대학생, 전문대생",2020. 07. 01. (수) ~ 2020. 07. 16. (목),조회 : 805
2742,더라이트핸즈 선교사자녀 장학,(사)더 라이트 핸즈,장학금,인원 미정,장학금지급 : 최대 800만원,대학생,2020. 07. 20. (월) ~ 2020. 07. 31. (금),"조회 : 1,143"
2743,엄마나라 유학 장학,아시아발전재단,장학금,총 6명 선발,"장학금지급 : 최대 1,000만원","고등학생, 대학생, 전문대생, 기타/일반",2020. 07. 01. (수) ~ 2020. 07. 31. (금),"조회 : 2,413"
2744,BNK금융그룹 희망나눔장학,BNK금융그룹희망나눔재단,장학금,인원 미정,장학금지급 : 최대 200만원,"대학생, 전문대생",2020. 06. 29. (월) ~ 2020. 07. 06. (월),"조회 : 1,718"
2745,양영재단 장학 (2020년 2학기),양영재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2020. 06. 30. (화) ~ 2020. 07. 10. (금),"조회 : 1,933"
2746,뉴미디어 콘텐츠 제작유통지원,경기콘텐츠진흥원,기타장학,총 15명 선발,활동 지원 : 최대 500만원,기타/일반,2020. 06. 19. (금) ~ 2020. 07. 16. (목),조회 : 702
2747,창업지원형 기숙사 입주생 모집 (2020년),한국장학재단,기숙사/주거지원,총 69명 선발,거주 지원 : 최대 -만원,"대학생, 전문대생, 대학원생",2020. 06. 29. (월) ~ 2020. 07. 15. (수),조회 : 574
2748,해석 정해영장학 (2020년),해석 정해영선생 장학문화재단,장학금,총 12명 선발,장학금지급 : 최대 800만원,"대학생, 대학원생",2020. 06. 29. (월) ~ 2020. 07. 24. (금),"조회 : 4,351"
2749,2020년 우정사회봉사단 : POCU´S 溫 (포커스온),한국우편사업진흥원,"장학프로그램, 기타장학",총 120명 선발,활동 지원 : 최대 -만원,"대학생, 전문대생",2020. 07. 06. (월) ~ 2020. 07. 28. (화),"조회 : 17,773"
2750,강원 폐광지역 하이원 대학생 장학 (2020년),강원랜드,장학금,총 110명 선발,장학금지급 : 최대 360만원,"대학생, 전문대생",2020. 07. 01. (수) ~ 2020. 07. 31. (금),"조회 : 5,436"
2751,창업 MAKRERS 창업빨간펜,서울시립대학교 캠퍼스타운조성사업단,"취업연계/산학장학, 기타장학",총 30명 선발,기타혜택 : 최대 -만원,"대학생, 전문대생, 대학원생, 기타/일반",2020. 07. 09. (목) ~ 2020. 07. 19. (일),"조회 : 3,034"
2752,일본정부 국비 유학생장학,주대한민국일본국대사관,"장학금, 연수/연구장학",인원 미정,장학금지급 : 최대 -만원,"대학생, 전문대생, 대학원생",2020. 07. 06. (월) ~ 2020. 07. 22. (수),"조회 : 1,033"
2753,제주더큰내일 탐나는인재모집 (3기),제주특별자치도경제통상진흥원,"취업연계/산학장학, 기타장학",총 80명 선발,활동 지원 : 최대 -만원,"대학생, 전문대생, 대학원생, 기타/일반",2020. 07. 01. (수) ~ 2020. 07. 22. (수),"조회 : 1,275"
2754,녹색 학업장학 (2020년),한국산림복지진흥원,장학금,총 100명 선발,장학금지급 : 최대 300만원,"고등학생, 대학생","(1차) 2020. 07. 27. (월) ~ 2020. 08. 28. (금)
(2차) 2020. 09. 14. (월) ~ 2020. 10. 08. (목)","조회 : 8,892"
2755,산업·임업 자격 취득 장려 장학,한국산림복지진흥원,장학금,총 8명 선발,장학금지급 : 최대 50만원,기타/일반,2020. 09. 01. (화) ~ 2020. 09. 25. (금),"조회 : 1,079"
2756,충남서울학사관 입사생 모집,충청남도인재육성재단,기숙사/주거지원,총 280명 선발,거주 지원 : 최대 -만원,"대학생, 전문대생, 대학원생",2020. 07. 01. (수) ~ 2020. 07. 17. (금),조회 : 520
2757,소선나눔기금 중고생 장학,대구사회복지공동모금회,장학금,인원 미정,장학금지급 : 최대 500만원,"중학생, 고등학생",2020. 06. 22. (월) ~ 2020. 07. 17. (금),조회 : 818
2758,소선나눔기금 과학기술장학 (2020년),대구사회복지공동모금회,장학금,총 8명 선발,"장학금지급 : 최대 2,000만원","대학생, 대학원생",2020. 06. 22. (월) ~ 2020. 07. 17. (금),"조회 : 1,235"
2759,한국장학재단 푸른등대장학 (2020년 2학기),한국장학재단,장학금,"총 1,109명 선발",장학금지급 : 최대 400만원,"대학생, 전문대생",2020. 07. 06. (월) ~ 2020. 07. 21. (화),"조회 : 2,796"
2760,농어촌 무이자 학자금 융자 (2020년 2학기),한국장학재단,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2020. 07. 06. (월) ~ 2020. 07. 17. (금),조회 : 303
2761,문숙장학재단 이공계열 장학 (2020년 2학기),문숙장학재단,장학금,인원 미정,장학금지급 : 최대 150만원,"대학생, 전문대생",2020. 07. 02. (목) ~ 2020. 07. 26. (일),"조회 : 2,255"
2762,성련장학재단 장학 (2020년 2학기),성련장학재단,장학금,총 -명 선발,장학금지급 : 최대 -만원,대학생,2020. 06. 29. (월) ~ 2020. 07. 24. (금),"조회 : 3,152"
2763,성암육영회 장학 (2020년 2학기),성암육영회,장학금,인원 미정,장학금지급 : 최대 150만원,대학생,2020. 07. 01. (수) ~ 2020. 07. 23. (목),"조회 : 3,292"
2764,시각장애인 효명장학 (2020년 하반기),실로암시각장애인복지관,장학금,총 0명 선발,장학금지급 : 최대 -만원,"대학생, 대학원생",2020. 07. 01. (수) ~ 2020. 07. 24. (금),조회 : 658
2765,울주군 롯데장학,울산광역시 울주군,장학금,총 30명 선발,장학금지급 : 최대 -만원,"대학생, 전문대생",2020. 06. 25. (목) ~ 2020. 07. 30. (목),"조회 : 1,420"
2766,KT&G 중·고교 상상장학,KT&G장학재단,장학금,총 240명 선발,장학금지급 : 최대 300만원,"중학생, 고등학생",2020. 07. 06. (월) ~ 2020. 07. 24. (금),"조회 : 1,324"
2767,소나무 아카데미 장학,소나무장학회,장학금,인원 미정,장학금지급 : 최대 500만원,"대학생, 대학원생",2020. 07. 20. (월) ~ 2020. 07. 29. (수),"조회 : 4,292"
2768,서울시 학자금대출 이자지원 (2020년 상반기),서울특별시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생, 기타/일반",2020. 07. 06. (월) ~ 2020. 09. 07. (월),"조회 : 1,025"
2776,청량리 도시재생 서포터즈,동대문구,"장학프로그램, 기타장학",총 12명 선발,기타혜택 : 최대 -만원,기타/일반,2020. 07. 06. (월) ~ 2020. 07. 19. (일),조회 : 742
2777,보령시 학자금대출 이자지원 (2020년 상반기),보령시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2020. 07. 06. (월) ~ 2020. 07. 24. (금),조회 : 271
2778,경산시장학회 장학,경산시장학회,장학금,"총 2,712명 선발",장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생",2020. 07. 13. (월) ~ 2020. 07. 24. (금),조회 : 928
2779,포스코 포항·광양 긴급생활장학,포스코청암재단,장학금,총 200명 선발,장학금지급 : 최대 100만원,대학생,2020. 07. 15. (수) ~ 2020. 07. 30. (목),조회 : 938
2780,서울 창업지원 더이룸 프로그램,강북구,기타장학,총 18명 선발,기타혜택 : 최대 500만원,"대학생, 기타/일반",2020. 07. 08. (수) ~ 2020. 07. 29. (수),"조회 : 1,086"
2781,대선공익재단 장학 (2020년),대선공익재단,장학금,총 81명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2020. 07. 08. (수) ~ 2020. 07. 31. (금),"조회 : 3,302"
2782,울진군 대학생 장학 (2020년),울진군장학재단,장학금,"총 1,390명 선발",장학금지급 : 최대 250만원,"대학생, 전문대생","(1차) 2020. 07. 20. (월) ~ 2020. 07. 31. (금)
(2차) 2020. 09. 01. (화) ~ 2020. 09. 15. (화)",조회 : 686
2783,창작준비금 지원 (2020년 하반기),한국예술인복지재단,기타장학,"총 7,725명 선발",활동 지원 : 최대 300만원,기타/일반,2020. 07. 13. (월) ~ 2020. 07. 31. (금),조회 : 712
2786,산청우정학사 입사생 선발 (2020년 2학기),산청군향토장학회,기숙사/주거지원,총 140명 선발,거주 지원 : 최대 -만원,"중학생, 고등학생",2020. 07. 13. (월) ~ 2020. 07. 24. (금),조회 : 544
2788,대정장학재단 장학 (2020년),대정장학재단,장학금,총 9명 선발,장학금지급 : 최대 500만원,대학생,2020. 07. 13. (월) ~ 2020. 07. 27. (월),"조회 : 3,783"
2791,고리원자력 주변지역 장학 (2020년),고리원자력본부,장학금,총 330명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2020. 07. 22. (수) ~ 2020. 07. 30. (목),"조회 : 1,165"
2792,기아자동차 레드크리에이터 모집,기아자동차,"장학프로그램, 기타장학",총 -명 선발,기타혜택 : 최대 -만원,대학생,2020. 07. 10. (금) ~ 2020. 08. 02. (일),"조회 : 1,548"
2793,성림교회 장학 (2020년 하반기),대한예수교장로회 성림교회,장학금,총 0명 선발,장학금지급 : 최대 200만원,대학생,2020. 07. 20. (월) ~ 2020. 08. 12. (수),"조회 : 2,907"
2796,서울 기술교육원 훈련생 모집,서울시,"취업연계/산학장학, 기타장학","총 2,006명 선발",기타혜택 : 최대 -만원,기타/일반,2020. 07. 06. (월) ~ 2020. 08. 14. (금),"조회 : 1,129"
2798,산림일자리 체험 장학 (2020년),한국산림복지진흥원,"장학금, 취업연계/산학장학",총 120명 선발,장학금지급 : 최대 100만원,기타/일반,2020. 09. 01. (화) ~ 2020. 10. 08. (목),"조회 : 1,622"
2800,불광장학회 장학 (2020년 2학기),(재)불광장학회,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2020. 07. 03. (금) ~ 2020. 07. 24. (금),"조회 : 1,212"
2801,남강장학회 장학 (2020년 2학기),남강장학회,장학금,인원 미정,장학금지급 : 최대 250만원,대학생,2020. 07. 15. (수) ~ 2020. 07. 27. (월),"조회 : 1,927"
2802,전라북도 서울장학숙 입사생 선발 (청운관),전라북도 서울장학숙,기숙사/주거지원,인원 미정,거주 지원 : 최대 -만원,기타/일반,2020. 07. 13. (월) ~ 2020. 07. 27. (월),조회 : 390
2803,부남장학재단 장학,부남장학재단,장학금,인원 미정,장학금지급 : 최대 200만원,대학생,2020. 07. 20. (월) ~ 2020. 07. 27. (월),"조회 : 1,880"
2805,제 20회 인포21C 나눔장학,인포21C,장학금,인원 미정,장학금지급 : 최대 100만원,"중학생, 고등학생, 대학생",2020. 07. 08. (수) ~ 2020. 08. 04. (화),"조회 : 4,013"
2806,굿패밀리 복지장학 (2020년 하반기),굿패밀리복지재단,장학금,총 00명 선발,장학금지급 : 최대 100만원,"고등학생, 대학생",2020. 07. 09. (목) ~ 2020. 08. 09. (일),"조회 : 6,641"
2809,일반 상환 생활비대출 (2020년 2학기),한국장학재단,대출지원,인원 미정,대출 지원 : 최대 150 만원만원,"대학생, 전문대생, 대학원생",2020. 07. 09. (목) ~ 2020. 11. 12. (목),"조회 : 1,959"
2810,지하수·지열협회 미래 장학,한국지하수지열협회,장학금,총 20명 선발,장학금지급 : 최대 200만원,대학생,2020. 07. 23. (목) ~ 2020. 08. 10. (월),"조회 : 3,111"
2811,공간정보 융복합 장학 (2020년),공간정보산업진흥원,"장학금, 연수/연구장학",총 10명 선발,"장학금지급 : 최대 1,800만원",대학원생,2020. 07. 15. (수) ~ 2020. 08. 10. (월),"조회 : 1,399"
2813,가송재단 장학 (2020년 2학기),가송재단,장학금,인원 미정,장학금지급 : 최대 500만원,"대학생, 전문대생",2020. 07. 21. (화) ~ 2020. 07. 31. (금),"조회 : 1,699"
2814,한국해운조합 선원공제 장학 (2020년),한국해운조합,장학금,총 35명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생",2020. 07. 13. (월) ~ 2020. 08. 14. (금),"조회 : 1,184"
2815,인천국제공항 대학생 교육봉사단,인천국제공항공사,"장학금, 장학프로그램",총 100명 선발,장학금지급 : 최대 250만원,"대학생, 대학원생",2020. 07. 20. (월) ~ 2020. 08. 02. (일),"조회 : 1,652"
2816,대관령 꿈나무장학 (2020년 하반기),대관령꿈나무장학회,장학금,인원 미정,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생",2020. 07. 20. (월) ~ 2020. 08. 03. (월),"조회 : 1,162"
2817,용산구 청년 커뮤니티 지원,용산구,"장학금, 기타장학",총 -명 선발,기타혜택 : 최대 300만원,"대학생, 기타/일반",2020. 07. 20. (월) ~ 2020. 08. 03. (월),조회 : 680
2818,고등교육재단 해외유학장학 (2020년),한국고등교육재단,장학금,인원 미정,장학금지급 : 최대 -만원,"대학생, 대학원생, 기타/일반",2020. 07. 23. (목) ~ 2020. 08. 03. (월),"조회 : 1,071"
2819,전주 사회적경제 서포터즈 모집,전주시,"장학프로그램, 기타장학",총 25명 선발,기타혜택 : 최대 -만원,기타/일반,2020. 07. 20. (월) ~ 2020. 08. 07. (금),조회 : 637
2820,서울 데이터 서포터즈 모집,서울디지털재단,"취업연계/산학장학, 기타장학",총 300명 선발,기타혜택 : 최대 -만원,기타/일반,2020. 07. 23. (목) ~ 2020. 08. 10. (월),"조회 : 1,416"
2821,새울원자력본부 주변지역 장학 (2020년),한국수력원자력 새울원자력,장학금,총 650명 선발,장학금지급 : 최대 150만원,"고등학생, 대학생, 전문대생",2020. 07. 29. (수) ~ 2020. 08. 04. (화),"조회 : 1,040"
2822,예향교회 장학,예향교회,장학금,인원 미정,장학금지급 : 최대 100만원,"중학생, 고등학생, 대학생, 전문대생, 기타/일반",2020. 07. 26. (일) ~ 2020. 08. 09. (일),"조회 : 1,338"
2823,태성장학회 장학 (2020년 2학기),(재)태성장학회,장학금,인원 미정,장학금지급 : 최대 300만원,대학생,2020. 07. 23. (목) ~ 2020. 08. 03. (월),"조회 : 1,744"
