인덱스,장학금명,재단,장학종류,선발인원,장학혜택,선발대상,신청기간,조회수
4785,안산 산업체근로자 교육위탁 장학 (2022년),안산인재육성재단,"장학금, 기타장학",총 20명 선발,장학금지급 : 최대 200만원,"대학생, 전문대생",2022. 03. 14. (월) ~ 2022. 03. 18. (금),조회 : 80
4786,안산 지역대학 진학생 장학 (2022년),안산인재육성재단,장학금,총 50명 선발,장학금지급 : 최대 200만원,"대학생, 전문대생",2022. 03. 14. (월) ~ 2022. 03. 18. (금),조회 : 182
4787,양주시 희망장학,양주시희망장학재단,장학금,총 157명 선발,장학금지급 : 최대 250만원,"중학생, 고등학생, 대학생",2022. 03. 02. (수) ~ 2022. 03. 18. (금),조회 : 269
4788,강원도 고성군 향토장학 (2022년),고성향토장학회,장학금,총 133명 선발,장학금지급 : 최대 250만원,"고등학생, 대학생",2022. 02. 21. (월) ~ 2022. 03. 18. (금),조회 : 436
4789,평창장학회 장학 (2022년),평창장학회,장학금,총 358명 선발,장학금지급 : 최대 -만원,"중학생, 고등학생, 대학생",2022. 02. 21. (월) ~ 2022. 03. 18. (금),조회 : 238
4790,세아해암 장학 (2022년),세아해암학술장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2022. 03. 14. (월) ~ 2022. 03. 18. (금),"조회 : 1,648"
4791,서천사랑장학 (2022년),서천사랑장학회,장학금,인원 미정,장학금지급 : 최대 500만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2022. 02. 28. (월) ~ 2022. 03. 18. (금),조회 : 312
4792,제천시 인재육성장학 (2022년),제천시인재육성재단,장학금,총 769명 선발,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2022. 03. 04. (금) ~ 2022. 03. 18. (금),조회 : 282
4793,김제사랑장학 (2022년),김제사랑장학재단,장학금,인원 미정,장학금지급 : 최대 600만원,"고등학생, 대학생",2022. 03. 10. (목) ~ 2022. 03. 18. (금),조회 : 146
4794,익산시 지역대학 장학,익산사랑장학재단,장학금,인원 미정,장학금지급 : 최대 100만원,"대학생, 전문대생",2022. 03. 07. (월) ~ 2022. 03. 18. (금),조회 : 306
4795,김해시 공항소음 대책지역 장학 (2022년),김해시,장학금,총 100명 선발,장학금지급 : 최대 50만원,"대학생, 전문대생",2022. 03. 07. (월) ~ 2022. 03. 18. (금),조회 : 421
