idx,scholarship_name,foundation,scholarship_type,recruit,benefit,target,period,memo
3069,고창군 학자금대출 이자지원 (2020년 하반기),고창군,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2020. 10. 15. (목) ~ 2020. 10. 30. (금),고창군에서 대학생들의 학자금 대출에 따른 이자부담을 덜어주기 위해 시행하는 이자지원 사업입니다.
3071,KT&G 서울경기 소상공인자녀 장학,KT&G장학재단,장학금,총 80명 선발,장학금지급 : 최대 100만원,"중학생, 고등학생",2020. 10. 12. (월) ~ 2020. 10. 30. (금),KT&G장학재단에서 코로나19 확산으로 인하여 어려움을 겪고있는 소상공인 가정의 자녀에게 안정적인 학습 환경을 지원하는 장학금입니다.
3072,순천시 인재육성장학 (2020년),순천시인재육성장학회,장학금,총 135명 선발,장학금지급 : 최대 400만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2020. 10. 19. (월) ~ 2020. 10. 30. (금),순천시 내 인재육성을 위해 순천시인재육성장학회에서 실시하는 대규모장학사업입니다.
3074,대구시 중소기업 근로자 자녀 장학 (2020년),대구광역시,장학금,총 40명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2020. 10. 19. (월) ~ 2020. 10. 30. (금),대구광역시에서 지역 저소득 중소기업 근로자의 자녀인 고등학생 및 대학생을 지원하는 장학입니다.
3075,FISU·대구체육 장학,대구광역시 체육회,장학금,총 82명 선발,장학금지급 : 최대 120만원,"초등학생, 중학생, 고등학생, 대학생",2020. 10. 19. (월) ~ 2020. 10. 30. (금),대구광역시체육회에서 대구지역 초·중·고·대학생 선수들을 지원하는 장학금입니다.
3076,무주군 반디장학,무주군장학재단,장학금,인원 미정,장학금지급 : 최대 100만원,"대학생, 전문대생",2020. 10. 19. (월) ~ 2020. 11. 06. (금),"무주군장학재단에서 무주군 출신 대학생, 전문대생에게 최대 100만원을 지원하는 장학금입니다."
3077,의생명과학 해외대학원 장학 (2020년),아산사회복지재단,장학금,총 0명 선발,"장학금지급 : 최대 16,000만원",대학원생,2020. 10. 19. (월) ~ 2020. 11. 06. (금),"외국 대학에서 의생명과학 분야를 연구하는 석사, 박사, 석·박사 통합과정을 이수 중이거나 입학 예정인 학생들을 대상으로 장학금을 지급하는 아산사회복지재단의 장학사업입니다."
3078,무주군 학자금대출 이자지원 (2020년 하반기),무주군,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2020. 10. 14. (수) ~ 2020. 11. 13. (금),한국장학재단에서 학자금 대출을 받은 대학생들을 지원하는 무주군의 대출이자 지원사업입니다.
3079,MBC 여성시대 사랑의 난방비,MBC,기타장학,인원 미정,기타혜택 : 최대 -만원,기타/일반,2020. 10. 19. (월) ~ 2020. 11. 20. (금),"여성시대와 한국지역난방공사, 굿네이버스가 추위로 어려움을 겪고 있는 이웃에게 난방비를 지원하는 사업입니다."
3080,봉은재단 장학,봉은재단,장학금,인원 미정,장학금지급 : 최대 300만원,대학생,2020. 10. 16. (금) ~ 2020. 11. 04. (수),봉은재단에서 과학기술연구개발 및 산업계신기술개발지원을 통한 국가산업발전과 우수한 인재를 지원하는 장학금입니다.
3081,아산복지재단 아산장학,아산사회복지재단,장학금,총 00명 선발,장학금지급 : 최대 -만원,대학생,"(1차) 2020. 10. 19. (월) ~ 2020. 11. 08. (일)
(2차) 2020. 11. 30. (월) ~ 2020. 12. 20. (일)",아산사회복지재단에서 우수인재 양성과 교육기회 불균형 해소를 위해 지원하는 장학사업입니다.
3082,진천군장학회 장학 (2020년),진천군장학회,장학금,총 206명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생, 대학생, 전문대생",2020. 10. 19. (월) ~ 2020. 10. 30. (금),"진천군장학회에서 진천군 출신 중학생, 고등학생, 대학생 총 206명에게 최대 200만원을 지급하는 장학금입니다."
3083,금샘문화재단 장학 (2020년),금샘문화재단,장학금,인원 미정,장학금지급 : 최대 200만원,대학생,2020. 10. 22. (목) ~ 2020. 11. 05. (목),금샘문화재단에서 어려운 생활환경 속에서도 꿈을 잃지 않고 학업에 전념하고 있는 잠재적 역량을 갖춘 인재들을 지원하는 장학금입니다.
3084,산청양수발전소 장학 (2020년),산청양수장학회,장학금,총 85명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생, 대학생, 전문대생",2020. 10. 12. (월) ~ 2020. 11. 09. (월),산청양수장학회에서 산청양수발전소 주변지역에 거주하는 주민 또는 그 자녀를 지원하는 장학금입니다.
3085,유하푸른재단 이공계장학 (2021년),유하푸른재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2020. 10. 22. (목) ~ 2020. 11. 13. (금),유하푸른재단에서 이공계열 1학년 재학생을 지원하는 장학금입니다.
3086,부안군 학자금대출 이자지원 (2020년 하반기),부안군,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2020. 10. 05. (월) ~ 2020. 11. 13. (금),한국장학재단에서 학자금 대출을 받은 학생들을 대상으로 대출이자를 지원하는 부안군의 지원사업입니다.
3087,안동시 학자금대출 이자지원 (2020년 하반기),안동시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2020. 10. 05. (월) ~ 2020. 11. 16. (월),한국장학재단에서 학자금 대출을 받은 안동 출신 대학생에게 이자지원을 하는 안동시의 사업입니다.
3088,전라북도 미래인재 특기장학 (2020년),전라북도인재평생교육진흥원,장학금,총 40명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2020. 11. 04. (수) ~ 2020. 11. 13. (금),"전라북도인재평생교육진흥원에서 예술, 체육, 기능분야 전국대회 수상자에게 최대 200만원을 지원하는 장학금입니다."
3089,LG유플러스 석/박사 산학장학 (2020년),LG유플러스,장학금,인원 미정,"장학금지급 : 최대 -만원
기타혜택 : 최대 -만원",대학원생,2020. 10. 19. (월) ~ 2020. 11. 16. (월),학위 취득 예정 중인 대학원생을 대상으로 등록금과 소정의 학비 지원금을 지급하는 LG유플러스의 장학사업입니다.
3090,광양시 학자금대출 이자지원 (2020년),광양시,대출지원,인원 미정,대출 지원 : 최대 -만원,대학생,2020. 10. 05. (월) ~ 2020. 11. 04. (수),한국장학재단에서 학자금을 대출받은 대학생들을 지원하는 광양시의 대출이자 지원사업입니다.
3091,홍천군 저소득주민자녀장학 (2020년),홍천군,장학금,총 30명 선발,장학금지급 : 최대 100만원,"고등학생, 대학생",2020. 10. 21. (수) ~ 2020. 11. 11. (수),홍천군에서 어려움을 겪는 저소득 가정의 경제적 도움 및 자립∙자활을 위한 장학사업입니다.
3092,군산시 학자금대출 이자지원 (2020년 하반기),군산시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2020. 10. 20. (화) ~ 2020. 11. 13. (금),학자금대출 상환이 끝나지 않은 학생들을 대상으로 학자금 대출 이자를 지원하는 군산시의 장학사업입니다.
3093,아산시 학자금대출 이자지원 (2020년),아산시,대출지원,인원 미정,대출 지원 : 최대 --만원,"대학생, 전문대생",2020. 10. 05. (월) ~ 2020. 11. 16. (월),한국장학재단에서 학자금 대출을 받은 대학생들을 지원하는 아산시의 대출이자 지원사업입니다.
3097,포천시 고등학생 장학,포천시교육재단,장학금,총 200명 선발,장학금지급 : 최대 50만원,고등학생,2020. 10. 28. (수) ~ 2020. 11. 10. (화),포천시교육재단에서 포천시 출신 고등학생들을 지원하는 장학금입니다.
3098,포천시 특별장학,포천시교육재단,장학금,총 200명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2020. 10. 28. (수) ~ 2020. 11. 10. (화),포천시교육재단에서 코로나19로 경제적 위기를 겪고 있는 지역 주민의 생활 안정에 도움을 주고자 포천시 출신 대학생을 지원하는 장학금입니다.
3099,부산시 학자금대출 이자지원 (2020년),부산광역시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2020. 10. 26. (월) ~ 2020. 11. 11. (수),한국장학재단에서 학자금 대출을 받은 대학생들 지원하는 부산시의 대출이자 지원사업입니다.
3100,통영시 인재육성장학,통영시지속가능발전교육재단,장학금,인원 미정,장학금지급 : 최대 1000만원,"중학생, 고등학생, 대학생, 대학원생",2020. 10. 16. (금) ~ 2020. 11. 13. (금),"통영시지속가능발전교육재단에서 통영시 출신 문학, 예술, 체육 등 특정분야에 재능이 우수한 중·고등학생, 대학생, 대학원생을 지원하는 장학금입니다."
3101,강북구 꿈나무키움 장학 (2020년),강북구꿈나무키움장학재단,장학금,총 6명 선발,장학금지급 : 최대 300만원,"초등학생, 중학생, 고등학생, 기타/일반",2020. 11. 06. (금) ~ 2020. 11. 18. (수),"강북구꿈나무키움장학재단에서 음악, 미술, 무용, 체육, 연극, 학습 분야에서 특별한 소질이 있지만 경제적 어려움으로 재능계발이 어려운 어린이·청소년들을 지원하는 장학금입니다."
3102,박신양 FUN 장학 (2021년),박신양FUN장학회,장학금,총 00명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2020. 10. 20. (화) ~ 2020. 11. 30. (월),"박신양FUN장학회에서 연기, 극작장학생을 지원하고 창작지원금도 지원하는 사업입니다."
3103,독일어학연수 섬머코스장학 (2021년),주한독일고등교육진흥원,장학금,인원 미정,"장학금지급 : 최대 -만원
기타혜택 : 최대 -만원","대학생, 전문대생, 대학원생",2020. 10. 13. (화) ~ 2020. 12. 01. (화),"주한독일고등교육진흥원(DAAD)에서 독일 대학 또는 대학과 연계된 어학원의 독일어 과정, 지역학 과정 및 전공언어과정(독일어)에 참여하는 학생들을 지원하는 장학입니다."
3104,경기도 청년기본소득 (2020년 4분기),경기도,기타장학,인원 미정,기타혜택 : 최대 100만원,기타/일반,2020. 11. 02. (월) ~ 2020. 12. 01. (화),경기도에서 만 24세 청년들의 사회적 기본권 실현을 위해 최대 100만원 (분기별25만원 x 4회) 을 지원하는 사업입니다.
3105,"공연기획 아카데미 4,5기",종로여성인력개발센터,기타장학,총 54명 선발,기타혜택 : 최대 -만원,"대학생, 전문대생, 기타/일반",2020. 10. 21. (수) ~ 2020. 12. 11. (금),종로여성인력개발센터에서 공연예술분야 취업을 희망하는 청년 구직자를 위한 교육 지원과 취업 알선 사업입니다.
3106,천주교주교회의 명도회장학 (2021년),한국천주교주교회의,"장학금, 연수/연구장학",인원 미정,장학금지급 : 최대 600만원,"대학생, 전문대생, 대학원생, 기타/일반",2020. 10. 14. (수) ~ 2020. 12. 14. (월),평신도 인재를 발굴하여 한국 천주교회의 미래를 준비하는 장학금입니다.
3107,의왕시 소상공인자녀 장학 (2020년),의왕시인재육성재단,장학금,총 80명 선발,장학금지급 : 최대 50만원,"고등학생, 대학생, 전문대생",2020. 10. 26. (월) ~ 2020. 11. 06. (금),의왕시인재육성재단에서 의왕시 소상공인 자녀 고등학생과 대학생 총 80명에게 50만원의 생활비 장학금을 지원하는 사업입니다.
3108,진안군 학자금대출 이자지원 (2020년 2학기),진안군,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2020. 11. 02. (월) ~ 2020. 11. 16. (월),한국장학재단에서 학자금 대출을 받은 학생들을 대상으로 대출이자를 지원하는 진안군의 사업입니다.
3111,성동구장학재단 장학 (2020년 하반기),성동구인재육성장학재단,장학금,인원 미정,장학금지급 : 최대 200만원,"대학생, 전문대생",2020. 10. 26. (월) ~ 2020. 11. 08. (일),성동구인재육성장학재단에서 성동구 출신 대학생을 지원하는 장학금입니다.
3112,원덕읍 향토장학 (2020년),원덕읍향토장학회,장학금,인원 미정,장학금지급 : 최대 -만원,"고등학생, 대학생, 전문대생",2020. 10. 27. (화) ~ 2020. 11. 13. (금),"원덕읍향토장학회에서 원덕읍 출신 고등학생, 대학생을 지원하는 장학금입니다."
3113,옥천군장학회 장학 (2020년 하반기),옥천군장학회,장학금,총 186명 선발,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생","(1차) 2020. 11. 09. (월) ~ 2020. 11. 13. (금)
(2차) 2020. 11. 09. (월) ~ 2020. 11. 20. (금)",옥천군장학회에서 옥천군 출신 초·중·고·대학생을 지원하는 장학금입니다.
3114,두산연강재단 장학 (2021년),두산연강재단,장학금,총 00명 선발,,대학생,2020. 10. 26. (월) ~ 2020. 11. 20. (금),두산연강재단에서 전국의 우수한 대학생들을 장학생을 지원하는 장학금입니다.
3115,강남 실직청년 긴급지원금,강남구,기타장학,총 500명 선발,기타혜택 : 최대 -만원,"청년, 기타/일반",2020. 10. 26. (월) ~ 2020. 11. 15. (일),강남구에서 코로나19로 인해 시간제·단기·아르바이트 등에서 비자발적으로 퇴직하거나 해고된 청년을 지원하는 사업입니다.
3116,강남 문화예술인 재난지원금,강남구,기타장학,인원 미정,기타혜택 : 최대 100만원,기타/일반,2020. 10. 26. (월) ~ 2020. 11. 15. (일),코로나19 장기화로 각종 문화·예술 활동이 취소·중단되어 경제적 어려움을 겪고 있는 문화예술인들이 존엄성과 자긍심을 잃지 않고 본연의 예술활동을 할 수 있도록 강남구에서 시행하는 사업입니다.
3117,양산시 학자금대출 이자지원,양산시인재육성장학재단,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2020. 10. 26. (월) ~ 2020. 11. 20. (금),한국장학재단에서 학자금 대출을 받은 학생들을 대상으로 대출이자를 지원하는 양산시의 사업입니다.
3118,예산군 학자금대출 이자지원,예산군,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2020. 10. 12. (월) ~ 2020. 11. 16. (월),한국장학재단에서 학자금 대출을 받은 학생들을 대상으로 대출이자를 지원하는 예산군의 사업입니다.
3119,2021학년도 하이트진로 장학금,하이트진로홀딩스,장학금,총 100명 선발,장학금지급 : 최대 150만원,대학생,2020. 11. 02. (월) ~ 2020. 12. 04. (금),"국내대표 주류 전문 기업 하이트진로 그룹의 지주회사인 하이트진로홀딩스㈜는 요식업주 및 휴·폐업 자영업자의 대학생 자녀에 대한 장학금 지원을 통해 국가와 사회에 이바지 할 우수한 인재를 양성하며, 학업에 전념할 수 있도록 하기 위해 ‘2021학년도 하이트진로 장학생’을 모집합니다."
3120,관정이종환 장학 (2021년),관정이종환교육재단,장학금,인원 미정,장학금지급 : 최대 2200만원,"대학생, 대학원생",2020. 11. 02. (월) ~ 2020. 11. 13. (금),"관정이종환교육재단에서 도전정신, 창조정신, 기여정신을 가진 대학생, 대학원생을 지원하는 장학금입니다."
3122,경기도 청년 복지포인트,경기도일자리재단,기타장학,총 5000명 선발,기타혜택 : 최대 120만원,"청년, 기타/일반",2020. 11. 02. (월) ~ 2020. 11. 16. (월),경기도일자리재단에서 청년 노동자의 처우개선과 복지향상을 위해 지원하는 사업입니다.
3123,삼성화재 교통사고유자녀 장학,아이들과미래재단,장학금,인원 미정,"장학금지급 : 최대 -만원
활동 지원 : 최대 -만원
기타혜택 : 최대 -만원","초등학생, 중학생, 고등학생",2020. 10. 29. (목) ~ 2020. 11. 18. (수),아이들과미래재단에서 부모의 교통사고로 인해 생활의 어려움을 겪고 있는 초·중·고등학생을 지원하는 장학금입니다.
3124,전주 청년예술인 사회주택 입주,한국주거복지 사회적협동조합,기숙사/주거지원,인원 미정,거주 지원 : 최대 -만원,"청년, 기타/일반",2020. 10. 19. (월) ~ 2020. 11. 25. (수),한국주거복지 사회적협동조합에서 전주시가 주거취약계층 주거안정과 주거난 해소를 위해 시행하는 사업입니다.
3125,전기공사공제조합 장학 (2021년),전기공사공제조합장학회,장학금,총 00명 선발,장학금지급 : 최대 500만원,대학생,2020. 11. 09. (월) ~ 2020. 11. 20. (금),전기공사공제조합장학회에서 우리나라의 미래를 이끌어나갈 인재를 지원하는 장학금입니다.
3126,서울대 아시아연구소 방문학자 펠로십 (2021년 상반기),서울대학교 아시아연구소,연수/연구장학,인원 미정,"연수/연구지원 : 최대 360만원
기타혜택 : 최대 -만원","대학원생, 기타/일반",2020. 10. 29. (목) ~ 2020. 11. 27. (금),"서울대학교 아시아연구소는 아시아 전문 연구자들에게 연구공간과 소정의 연구지원비 제공으로 아시아관련 우수 연구를 지원하고, 아시아연구소 소속 연구자들과의 교류를 활성화하기 위해 방문학자 펠로우십 프로그램을 시행합니다."
3127,광산김씨 제주도 종친 장학,광산김씨제주특별자치도장학문화재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2020. 11. 01. (일) ~ 2020. 11. 30. (월),광산김씨제주특별자치도장학문화재단에서 광산김씨 후손인 대학생을 지원하는 장학금입니다.
3128,서울희망 SOS장학 (2020년 5차),서울장학재단,장학금,총 50명 선발,장학금지급 : 최대 100만원,"중학생, 고등학생, 대학생, 전문대생",2020. 11. 02. (월) ~ 2020. 11. 24. (화),"서울장학재단에서 주소득자의 사망, 질병, 실직 등 갑작스러운 가정의 위기로 인하여 경제적 어려움에 처한 위기가정 자녀(중·고·대학생)를 지원하는 장학금입니다."
3129,시흥시 코로나 특별 장학,시흥시인재양성재단,장학금,총 251명 선발,장학금지급 : 최대 100만원,"중학생, 고등학생, 대학생, 전문대생, 기타/일반",2020. 11. 04. (수) ~ 2020. 11. 13. (금),시흥시인재양성재단에서 코로나로 인한 경제적·사회적 어려움에 처한 청소년을 응원하기 위해 지원하는 장학금입니다.
3130,유영아 학업 장학(서울소재 대학생) (2020년),서울장학재단,장학금,총 12명 선발,장학금지급 : 최대 400만원,대학생,2020. 11. 09. (월) ~ 2020. 11. 17. (화),"서울장학재단에서 유영아 선생님의 기부금으로 운영되는 장학 사업으로, 학업 의지가 강한 대학생들에게 장학금을 지원하는 사업입니다."
3131,충남 등록예술인 생계지원금,충청남도,기타장학,총 1200명 선발,기타혜택 : 최대 100만원,기타/일반,2020. 11. 04. (수) ~ 2020. 11. 20. (금),충청남도에서 코로나-19로 인하여 어려움을 겪고 있는 예술인들의 생활안정 및 창작활동을 지원하는 사업입니다.
3132,월정김용복 장학 (2021년),용복장학회,장학금,인원 미정,,대학생,2021. 01. 04. (월) ~ 2021. 01. 08. (금),학업에 대한 열정과 능력은 지녔지만 경제적으로 어려운 학생 중 건전한 사고와 단정한 품행으로 타의 모범이 되는 학생들을 지원하는 장학금입니다.
3133,숲과나눔 인재양성 장학 (2021년),숲과나눔,장학금,총 00명 선발,장학금지급 : 최대 400만원,"대학원생, 기타/일반","(1차) 2020. 11. 09. (월) ~ 2020. 11. 22. (일)
(2차) 2020. 11. 09. (월) ~ 2020. 11. 29. (일)","숲과 나눔에서 환경·안전·보건 분야에 이바지할 미래 인재를 선발, 지원하는 사업입니다."
3134,세아해암 일시지원 장학,세아해암학술장학재단,장학금,인원 미정,장학금지급 : 최대 100만원,대학생,2020. 11. 10. (화) ~ 2020. 11. 19. (목),세아해암학술재단에서 코로나의 장기화로 등록금 마련에 어려움을 겪는 학생을 일시 지원하는 장학금입니다.
3135,인송문화재단 장학 (2020년 2학기),인송문화재단,장학금,인원 미정,장학금지급 : 최대 200만원,대학생,2020. 11. 09. (월) ~ 2020. 11. 30. (월),인송문화재단에서 어려운 가정환경에서도 학구열이 높고 성적이 우수한 대학생을 지원하는 장학금입니다.
3136,승가원 복지실습장학,승가원,장학금,총 10명 선발,장학금지급 : 최대 100만원,"대학생, 대학원생",2020. 11. 02. (월) ~ 2020. 11. 18. (수),승가원에서 2020년도 동계방학 중 복지실습을 할 대학생과 대학원생을 모집합니다.
3137,김해시 공항소음 대책지역 장학 (2020년 3차),김해시,장학금,총 15명 선발,장학금지급 : 최대 50만원,"대학생, 전문대생, 기타/일반",2020. 11. 09. (월) ~ 2020. 11. 20. (금),김해시에서 공항소음 대책(인근)지역 거주학생의 학습권 보장을 지원하는 장학금입니다.
3138,경원장학재단 장학,경원장학재단,장학금,총 35명 선발,장학금지급 : 최대 400만원,"고등학생, 대학생","(1차) 2020. 11. 04. (수) ~ 2020. 11. 20. (금)
(2차) 2020. 11. 24. (화) ~ 2020. 12. 04. (금)","경원장학재단에서 학습능력이 우수하지만, 경제적 형편이 어려운 학생을 선발하여, 전공역량개발에 집중학고 해당 분야의 우수 인력으로 성장 할 수 있도록 지원하는 장학금입니다."
3139,아름다운재단 대학생 교육비 지원 (2021년),아름다운재단,장학금,총 40명 선발,장학금지급 : 최대 420만원,"대학생, 전문대생",2020. 11. 03. (화) ~ 2020. 11. 27. (금),아름다운재단에서 아동복지시설 및 가정위탁 보호종료 또는 연장 대학생 총 40명을 지원하는 장학금입니다.
3140,푸른등대 디지털 교육지원장학,한국장학재단,장학금,총 900명 선발,기타혜택 : 최대 -만원,"대학생, 전문대생",2020. 11. 16. (월) ~ 2020. 11. 27. (금),한국장학재단에서 코로나-19 확산으로 온라인수업에 어려움을 겪고 있는 저소득층 대학생의 학습을 돕기 위해 온라인 교육용 태블릿 PC를 지원하는 사업입니다.
3141,부산시 수영구 장학 (2021년),수영구장학재단,장학금,총 50명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생, 대학생",2020. 12. 01. (화) ~ 2021. 01. 22. (금),"수영구장학재단에서 부산시 수영구 출신 중학생, 고등학생, 대학생을 지원하는 장학금입니다."
3142,제 14회 에몬스 장학,에몬스가구,장학금,총 12명 선발,장학금지급 : 최대 500만원,대학생,2020. 11. 16. (월) ~ 2020. 12. 04. (금),에몬스가구에서 졸업 후 사회 각 분야에서 역량을 펼칠수 있도록 국내 대학 재학생을 지원하는 장학금입니다.
3143,한국서부발전 위피스쿨 장학 (2020년),한국서부발전,장학프로그램,총 8명 선발,"장학금지급 : 최대 150만원
활동 지원 : 최대 -만원","대학생, 전문대생",2020. 11. 09. (월) ~ 2020. 11. 18. (수),한국서부발전과 한국대학사회봉사협의회(대사협)에서 서부 위피스쿨을 진행할 대학생 멘토를 모집하는 장학 사업입니다.
3145,신세계I&C · 드림스폰 엄마에게 장학금,드림스폰,,인원 미정,,,2020. 11. 13. (금) ~ 2020. 11. 29. (일),
3146,제 8기 S&T 장학,S&T장학재단,장학금,인원 미정,장학금지급 : 최대 800만원,대학생,2020. 11. 11. (수) ~ 2020. 12. 03. (목),S&T장학재단에서 학업성적이 우수하고 가정형편이 어려운자 or 이공계 대학생을 지원하는 장학금입니다.
3147,군산시 근로자 자녀 장학,군산시,장학금,총 40명 선발,장학금지급 : 최대 100만원,고등학생,2020. 11. 16. (월) ~ 2020. 11. 20. (금),군산시에서 군산시 출신 고등학생 총 40명에게 최대 100만원을 지원하는 장학금입니다.
3148,산청군 향토장학 (2020년 하반기),산청군향토장학회,장학금,총 -명 선발,장학금지급 : 최대 50만원,"초등학생, 중학생, 고등학생",2020. 11. 11. (수) ~ 2020. 12. 07. (월),산청군향토장학회에서 산청군 출신 초·중·고등학생을 지원하는 장학금입니다.
3149,개벽장학회 장학,개벽장학회,장학금,총 18명 선발,장학금지급 : 최대 100만원,"고등학생, 대학생, 전문대생",2020. 11. 16. (월) ~ 2020. 11. 20. (금),개벽장학회에서 지역사회 및 국가발전에 기여할 수 있는 인재를 지원하는 장학금입니다.
3150,백산장학회 장학 (2020년),백산장학재단,장학금,총 00명 선발,장학금지급 : 최대 -만원,"대학생, 전문대생, 대학원생",2020. 11. 09. (월) ~ 2020. 11. 25. (수),백산장학회에서 대학생·대학입학 예정자 및 대학원생을 지원하는 장학금입니다.
3151,남양주 장학,남양주,장학금,총 66명 선발,장학금지급 : 최대 300만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2020. 11. 16. (월) ~ 2020. 11. 27. (금),"남양주시에서 학업성적이 우수한 학생, 경제적 이유로 학업에 어려움을 겪고 있는 학생, 재능이 우수한 학생 및 청소년을 지원하는 장학금입니다."
3152,헝가리 정부초청 장학 (2021-2022년),국립국제교육원,장학금,총 100명 선발,"장학금지급 : 최대 -만원
거주 지원 : 최대 -만원
기타혜택 : 최대 -만원","대학생, 대학원생",2020. 11. 16. (월) ~ 2021. 01. 15. (금),헝가리 외교통상부와 템푸스 공익 재단이 전세계 여러 나라의 학생들의 헝가리 유학에 도움을 주기 위해 공동으로 운영하는 헝가리 정부 장학금입니다.
3153,포니정 인문연구 장학 (2021년),포니정재단,장학금,총 15명 선발,"연수/연구지원 : 최대 2000만원
기타혜택 : 최대 -만원",대학원생,2020. 11. 16. (월) ~ 2020. 12. 13. (일),포니정재단에서 인문학 분야를 전공하는 대학원생을 지원하는 장학금입니다.
3154,광진구 장학,광진구,장학금,총 50명 선발,장학금지급 : 최대 250만원,"고등학생, 대학생",2020. 11. 16. (월) ~ 2020. 11. 30. (월),"광진구에서 광진구 출신 고등학생, 대학생 총 50명을 지원하는 장학금입니다."
3155,부산시 학자금대출 이자지원 (2020년 2차),부산시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학원생, 기타/일반",2020. 11. 20. (금) ~ 2020. 11. 30. (월),부산시에서 부산시 출신 대학원생 및 졸업생의 안정적인 학업증진 및 구직활동을 지원하는 사업입니다.
3156,진안군 고향사랑 장학 (2020년),진안군,장학금,인원 미정,장학금지급 : 최대 100만원,"대학생, 전문대생",2020. 11. 18. (수) ~ 2020. 12. 14. (월),진안사랑장학재단에서 진안군 관내 중‧고등학교를 모두 졸업한 대학(국내‧외) 전 학년을 지원하는 장학금입니다.
3157,인천 동구 근로장학 (2021년),동구꿈드림장학회,취업연계/산학장학,총 30명 선발,근로비/수당 : 최대 -만원,"대학생, 전문대생",2020. 12. 02. (수) ~ 2020. 12. 09. (수),동구꿈드림장학회에서 인천광역시 동구출신 대학생 재·휴학생을 지원하는 사업입니다.
3158,부천시 예술인 재난지원금,부천시,기타장학,인원 미정,기타혜택 : 최대 50만원,기타/일반,2020. 11. 16. (월) ~ 2020. 12. 11. (금),"코로나19 장기화에 따라 각종 문화, 예술 활동이 중단되어 경제적 어려움을 겪고 있는 전문예술인을 지원하는 사업입니다."
3159,부산시 중구장학회 장학 (2021년),중구장학회,장학금,총 40명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생",2020. 12. 07. (월) ~ 2021. 01. 06. (수),중구장학회에서 생활이 어렵거나 학업성적이 우수한 학생들을 지원하는 장학금입니다.
3160,부산 사상구 장학 (2020년),부산사상구장학회,장학금,총 52명 선발,장학금지급 : 최대 300만원,고등학생,2020. 11. 19. (목) ~ 2020. 12. 31. (목),부산시에서 부산 사상구 출신 고등학생 총 52명에게 최대 300만원을 지원하는 장학금입니다.
3161,한국장학재단 홍보대사 모집 (12기),한국장학재단,"장학금, 기타장학",총 130명 선발,,대학생,2020. 11. 30. (월) ~ 2020. 12. 11. (금),한국장학재단에서 대학생 등록금 부담을 덜어주는 학자금 지원제도를 널리 홍보할 대학생 홍보대사를 지원하는 장학금입니다.
3162,거제시 재능봉사 장학 (2020년),거제시,장학금,총 21명 선발,장학금지급 : 최대 150만원,대학생,2020. 11. 23. (월) ~ 2020. 12. 04. (금),거제시에서 거제시 출신 우수 인재 장학생을 지원하는 장학금입니다.
3163,LG이노텍 석/박사 산학장학,LG이노텍,"장학금, 취업연계/산학장학",인원 미정,장학금지급 : 최대 -만원,대학원생,2020. 11. 17. (화) ~ 2020. 12. 15. (화),LG이노텍에서 등록금 및 월 학비보조금을 지원하고 졸업 후 LG이노텍 입사를 연계해주는사업입니다.
3164,준제장학회 희망나무장학,준제장학회,장학금,총 1~5명 선발,장학금지급 : 최대 50만원,기타/일반,2020. 10. 05. (월) ~ 2020. 12. 31. (목),준제장학회에서 경제적인 어려움을 겪고 있는 희귀난치성질환의 청소년 환우에게 치유 및 재활을 위한 생활비용이나 교육에 필요한 장학금을 지원하는 사업입니다.
3165,KC 미래 이공계 장학 (2021년),KC미래장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2020. 11. 16. (월) ~ 2021. 01. 08. (금),우수 이공계 학생들이 안정적으로 학업을 유지하여 핵심인재로 성장할 수 있도록 장학금을 지급하는 재단법인 KC미래장학재단의 장학사업입니다.
