idx,scholarship_name,foundation,scholarship_type,recruit,benefit,target,period,memo
5044,시흥사랑장학금 장학생 선발,시흥시인재양성재단,장학금,총 15명 선발,장학금지급 : 최대 200만원,대학생,2022. 04. 01. (금) ~ 2022. 04. 17. (일),시흥시 지역교육 발전과 지역을 사랑하는 마음을 담은 「의료법인 석경의료재단 센트럴병원」의 지정기탁 장학금입니다.
5045,인천형 예술인 지원사업,인천문화재단,기타장학,인원 미정,기타혜택 : 최대 6000만원,기타/일반,2022. 04. 13. (수) ~ 2022. 04. 22. (금),"인천문화재단에서 지역 문화예술의 건강한 순환구조를 위해 마련된 사업으로, 지역 예술인 및 단체의 창작생애주기에 따른 활동을 지원하는 사업입니다."
5046,부안군 근농인재육성장학 (2022년),부안군근농인재육성재단,장학금,총 1240명 선발,장학금지급 : 최대 300만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생, 청년",2022. 03. 21. (월) ~ 2022. 04. 22. (금),"부안군근농인재육성재단에서 부안군 지역인재 발굴, 육성을 위한 장학생을 선발해 지원하는 사업입니다."
5047,전북 향토인재 장학 (2022년),전라북도평생교육장학진흥원,장학금,총 150명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2022. 04. 15. (금) ~ 2022. 04. 22. (금),전라북도평생교육장학진흥원에서 전북 출신 대학생 중 학업성적이 우수하고 가정형편이 어려운 학생들을 지원하는 장학금입니다.
5048,구미시장학재단 장학 (2022년),구미시장학재단,장학금,총 193명 선발,장학금지급 : 최대 300만원,"고등학생, 대학생, 전문대생",2022. 04. 11. (월) ~ 2022. 04. 22. (금),구미시장학재단에서 구미교육발전과 지역인재육성을 위해 지원하는 사업입니다.
5049,일주학술재단 해외박사 장학 (2022년),일주학술문화재단,장학금,총 10명 선발,"장학금지급 : 최대 -만원
기타혜택 : 최대 -만원",대학원생,2022. 04. 05. (화) ~ 2022. 04. 22. (금),일주학술문화재단에서 해외 우수 대학원 박사과정(PhD) 입학 허가를 받은 신입생을 지원하는 장학금입니다.
5050,이공계 기술기반 여성창업가 지원사업,여성기업종합지원센터,기타장학,총 -명 선발,기타혜택 : 최대 700만원,"청년, 기타/일반",2022. 03. 28. (월) ~ 2022. 04. 22. (금),여성기업종합지원센터에서 예비 여성창업자 및 여성 창업기업 등 유망 여성창업자 발굴 및 사업화지원을 위해 시행하는 사업입니다.
5051,인공지능반도체 인재양성사업,과학기술정보통신부,기타장학,총 -명 선발,기타혜택 : 최대 -만원,기타/일반,2022. 04. 11. (월) ~ 2022. 04. 22. (금),과학기술정보통신부에서 인공지능반도체 관련 융합·연합 전공을 개설·운영하고 산학협력 등을 통한 실무형 우수인재를 양성하기 위한 사업입니다.
5052,국립국제교육원 한일 대학생 교류사업,국립국제교육원,기타장학,총 42명 선발,기타혜택 : 최대 -만원,"대학생, 전문대생",2022. 04. 01. (금) ~ 2022. 04. 22. (금),국립국제교육원에서 온라인 플랫폼을 활용한 한일 양국의 인적 교류 기반을 마련하기 위해 지원하는 사업입니다.
5053,경기도 공익 크리에이터 육성 모집,경기콘텐츠진흥원,기타장학,총 20명 선발,기타혜택 : 최대 500만원,기타/일반,2022. 03. 28. (월) ~ 2022. 04. 25. (월),경기콘텐츠진흥원에서 콘텐츠로 선한 영향력을 나누고 싶은 1인 크리에이터를 모집해 지원하는 사업입니다.
5054,대학 자체개발 해외봉사프로그램 공모,한국대학사회봉사협의회,기타장학,총 -명 선발,기타혜택 : 최대 1000만원,"대학생, 전문대생, 기타/일반",2022. 03. 14. (월) ~ 2022. 04. 25. (월),한국대학사회봉사협의회에서 대학생 글로벌인재양성 및 사회환원을 목표로 해외봉사 프로그램을 공모하는 사업입니다.
5055,현대자동차 R&D 연구장학,현대자동차그룹,"장학금, 취업연계/산학장학, 기타장학",인원 미정,"장학금지급 : 최대 170만원
기타혜택 : 최대 -만원","대학원생, 기타/일반",2022. 04. 04. (월) ~ 2022. 04. 25. (월),"현대자동차그룹에서 현대자동차 연구소로 배치될 석사, 박사 과정의 우수인재를 선발해 프로젝트 중심의 실습 교육을 진행하는 사업입니다."
5056,현대자동차 석사 산학장학,현대자동차그룹,"장학금, 취업연계/산학장학, 기타장학",인원 미정,"장학금지급 : 최대 -만원
기타혜택 : 최대 -만원",대학생,2022. 04. 04. (월) ~ 2022. 04. 25. (월),현대자동차그룹에서 미래모빌리티 분야 맞춤형 인재를 육성하기 위해 석사로 진학할 인재를 선발해 현장실무연수를 지원하는 사업입니다.
5057,맥쿼리 청년리더 장학 (2022년),초록우산 어린이재단,장학금,총 00명 선발,"장학금지급 : 최대 600만원
기타혜택 : 최대 -만원",대학생,2022. 04. 06. (수) ~ 2022. 04. 25. (월),초록우산어린이재단에서 우수한 청년인재를 선발해 장학금 지원 및 다양한 리더십 양성 프로그램을 제공하는 사업입니다.
5058,KT&G 중∙고교 상상장학 (2022년),KT&G장학재단,장학금,총 450명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생",2022. 03. 28. (월) ~ 2022. 04. 25. (월),"KT&G장학재단에서 기초수급자, 차상위계층 중학생과 고등학생 450명에게 최대 200만원을 지원하는 장학금입니다."
5059,오토꿈이룸서울 장학 (2022년),서울장학재단,장학금,총 30명 선발,장학금지급 : 최대 200만원,고등학생,2022. 04. 18. (월) ~ 2022. 04. 29. (금),"서울장학재단에서 저소득 가정의 특성화 고등학생이 자신의 진로(취업, 진학) 목표를 달성하여 능동적으로 자신의 미래를 만들어 갈 수 있도록 지원하는 장학금입니다."
5060,서울희망 고교진로 장학 (2022년),서울장학재단,장학금,"총 1,328명 선발",장학금지급 : 최대 150만원,고등학생,2022. 04. 15. (금) ~ 2022. 04. 29. (금),서울장학재단에서 어려운 가정환경에도 학업과 진로개발을 위해 노력하는 고등학생에게 진로탐색 및 개발을 위한 학업장려금을 지원하는 사업입니다.
5061,관악구 미취업청년 취업장려금 (2022년),관악구,기타장학,인원 미정,기타혜택 : 최대 50만원,"청년, 기타/일반",2022. 03. 02. (수) ~ 2022. 04. 29. (금),서울시 관악구에서 코로나19로 실업 및 미취업 상태에 놓인 청년에게 취업장려금을 지급하여 청년의 구직활동 촉진과 생활안정을 지원하는 사업입니다
5062,안양시 청년 창업기업 컨설팅 지원사업,안양산업진흥원,기타장학,인원 미정,기타혜택 : 최대 -만원,"청년, 기타/일반",2022. 04. 18. (월) ~ 2022. 04. 29. (금),안양산업진흥원에서 청년・창업기업 사업화 경쟁력 확보 및 본격적인 사업성장 진입 지원을 위한 컨설팅 지원사업입니다.
5063,전남 연구인재 역량강화 사업,전남인재평생교육진흥원,연수/연구장학,총 25명 선발,연수/연구지원 : 최대 227만원,대학원생,2022. 04. 04. (월) ~ 2022. 04. 27. (수),전남인재평생교육진흥원에서 지역 대학원생들의 연구역량 강화를 지원하기 위해 지역대학(대학원생)과 외부 연구기관의 공동연구를 지원하는 사업입니다.
5064,생명보험협회 해외박사 장학,생명보험사회공헌위원회,장학금,총 2명 선발,장학금지급 : 최대 7000만원,대학원생,2022. 03. 24. (목) ~ 2022. 04. 27. (수),생명보험사회공헌위원회에서 선진 해외대학의 보험관련 전공 박사과정 유학생을 대상으로 글로벌 보험전문인력 및 보험학자를 양성하기 위한 장학금입니다.
