id,contest_name,company_type,institution,target,rewards,app_period,contest_benefit,fields
100327,제10회 산업통상자원부 공공데이터활용 비즈니스아이디어 공모전 (기간연장),공공기관/공기업,산업통상자원부 / 한국전력공사,대상 제한 없음,1억 1100만 원,22.4.11 ~ 22.8.29,기타,"기획/아이디어, 과학/공학"
100328,2022년 함안관광 아이디어 대학생 공모전,공공기관/공기업,함안군,대학생,1000만 원,22.6.2 ~ 22.9.30,기타,기획/아이디어
100330,2022 청년뜨락5959 청년정책 아이디어 공모전 (기간 및 내용 수정),기타,청주시 청년센터 청년뜨락5959,"대학생, 직장인/일반인",350만 원,22.6.2 ~ 22.8.28,기타,기획/아이디어
100332,2022 미래도서관 정책아이디어 해커톤대회,공공기관/공기업,"문화체육관광부, 도서관정보정책위원회","대학생, 직장인/일반인",1500만 원,22.8.16 ~ 22.8.25,기타,"과학/공학, 기획/아이디어"
100335,LG CNS DX 아이디어 공모전,중견기업,LG CNS,대상 제한 없음,4000만 원,22.8.1 ~ 22.9.8,기타,기획/아이디어
100336,2022년 제1회 포스코엠텍 신규사업 아이디어 공모전,중소기업,포스코엠텍,"대학생, 직장인/일반인",450만 원,22.8.8 ~ 22.8.31,기타,기획/아이디어
100338,2022 노원 대학생 아이디어 공모전,공공기관/공기업,노원구,대학생,420만 원,22.7.25 ~ 22.9.23,기타,기획/아이디어
100339,제 1회 SAC 고교 아이디어,기타,SAC 공연연기모델영상계열,청소년,200만 원,22.7.18 ~ 22.10.14,기타,기획/아이디어
100340,가족사업 아이디어 공모전 '달서 같이와 (家)치',공공기관/공기업,대구달서구가족센터,대상 제한 없음,90만 원,22.8.22 ~ 22.9.21,기타,기획/아이디어
100348,2022년 여름! 워라밸 1분 하이라이트 영상 공모전,비영리단체/협회/재단,부산광역시일생활균형지원센터,대상 제한 없음,420만 원,22.7.29 ~ 22.8.31,기타,사진/영상/UCC
100349,2022 을지로아카이빙 프로젝트 을지로 콘텐츠 공모전,공공기관/공기업,을지로동주민센터,대상 제한 없음,115만 원,22.7.25 ~ 22.8.26,기타,문학/시나리오
100350,2022 0924 영상제,공공기관/공기업,하남시청소년수련관,대상 제한 없음,390만 원,22.8.26 ~ 22.11.4,기타,사진/영상/UCC
100351,2022 경기국제웹툰페어 인스타툰 공모전,공공기관/공기업,"경기도 / 경기콘텐츠진흥원, 킨텍스",대상 제한 없음,-,22.8.16 ~ 22.9.13,기타,"디자인/순수미술/공예, 캐릭터/만화/게임"
100354,2022 제주 일.생활 균형 슬로건 공모전,중소기업,주식회사 일로와,대상 제한 없음,130만 원,22.8.16 ~ 22.8.28,"기타, 상장 수여",네이밍/슬로건
100355,2022 기후위기행동 영상.웹툰(컷툰) 공모전,공공기관/공기업,경기도 / 경기도기후변화교육센터,대상 제한 없음,1200만 원,22.8.17 ~ 22.9.30,기타,사진/영상/UCC
100385,2022 울산 홍보관광 드론사진 공모전,중소기업,주식회사 유시스,대상 제한 없음,300만 원,22.8.15 ~ 22.9.25,기타,"사진/영상/UCC, 광고/마케팅"
100418,2022 미래 과학자 그림대회,중소기업,(주)티엔엘커뮤니케이션 (2022 미래 과학자 그림대회 운영사무국),청소년,268만 원,22.8.29 ~ 22.9.16,상장 수여,"디자인/순수미술/공예, 전시/페스티벌"
100429,2022 전국 탄금대 우리소리 경창대회,비영리단체/협회/재단,충주문화원,"대학생, 직장인/일반인",1000만 원,22.9.19 ~ 23.5.23,기타,기타
100458,제2회 국립생태원 연구논문 공모전 (~9/30 연장),기타,공모전사무국,대상 제한 없음,-,22.3.1 ~ 22.9.30,기타,기타
100478,2022 울주 이바구를 찾아서 공모전,비영리단체/협회/재단,울주문화재단,대상 제한 없음,820만 원,22.9.19 ~ 22.9.30,기타,문학/시나리오
100479,2022 여성 벤처 성장 챌린지 - 여성청년 창업챌린지,비영리단체/협회/재단,한국여성벤처협회,직장인/일반인,2400만 원,22.8.19 ~ 22.9.26,기타,창업
100480,제20회 대한민국 창작만화 공모전,기타,한국만화영상진흥원,대상 제한 없음,5100만 원,22.8.10 ~ 22.8.24,기타,"디자인/순수미술/공예, 캐릭터/만화/게임"
