id,activity_name,company_type,institution,target,app_period,activity_period,recruit,prefer,activity_benefit,interests,fields,,,,,,,,,,,
100117,강서구 꾸러기수비대 1기 대원 모집,비영리단체/협회/재단,청년보라,대상 제한 없음,22.8.3 ~ 22.8.24,22.8.31 ~ 22.11.2,30명,기타,봉사활동시간,"환경/에너지, 사회공헌/교류","봉사단-국내, 서포터즈",,,,,,,,,,,
100126,DOUCAN 두칸 서포터즈 2기 모집,중소기업,두칸,직장인/일반인,22.8.16 ~ 22.8.25,22.9.1 ~ 22.11.30,5명,기타,"사은품 지급, 행사 참여",디자인/사진/예술/영상,서포터즈,,,,,,,,,,,
100131,[스퀴즈브루어리] 1st 서포터즈 'J Dive' 모집,중소기업,주식회사 스퀴즈브루어리,"대학생, 직장인/일반인",22.8.17 ~ 22.8.29,22.9.1 ~ 22.11.30,15명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험","활동비, 수료증 및 인증서","요리/식품, 콘텐츠",서포터즈,,,,,,,,,,,
100141,2022 비영리스타트업 인큐베이팅 사업,비영리단체/협회/재단,다음세대재단,"대학생, 직장인/일반인",22.7.25 ~ 22.8.19,22.10.12 ~ 23.6.10,0명,기타,"활동비, 전문가/임직원 멘토링",창업/자기계발,기타,,,,,,,,,,,
100149,[모집] 2022 가리봉동 열린 라운딩 여행자 모집 (3회차 주제 : 밥상),스타트업,주식회사 마을다님,대상 제한 없음,22.8.17 ~ 22.8.26,22.8.27 ~ 22.8.27,00명,기타,행사 참여,"문화/역사, 요리/식품",기타,,,,,,,,,,,
100153,2022 문화다양성축제 MAMFRING 서포터즈 모집,공공기관/공기업,"경상남도, 창원시, 경남이주민노동복지센터, 창원문화재단 / MAMF(맘프)2022 추진위원","대학생, 직장인/일반인",22.7.20 ~ 22.9.30,22.10.21 ~ 22.10.23,141명,기타,봉사활동시간,문화/역사,서포터즈,,,,,,,,,,,
100169,KB-YMCA 대학생경제금융교육봉사단 폴라리스 19기 모집,비영리단체/협회/재단,한국기독교청년회전국연맹유지재단,대학생,22.8.15 ~ 22.8.31,22.9.21 ~ 23.2.28,130명,멘토링/수업 진행 경험,"활동비, 수료증 및 인증서","교육, 경제/금융","멘토링, 봉사단-국내",,,,,,,,,,,
100184,[중학생]디지털리터러시 학습 및 창작물 제작,공공기관/공기업,미래교육센터 오금Hub,청소년,22.8.15 ~ 22.8.31,22.9.6 ~ 22.9.29,15명,기타,사은품 지급,"언론/미디어, 디자인/사진/예술/영상",강연,,,,,,,,,,,
100196,[무형서재] 무형서재 서포터즈 옥토 2기 모집,스타트업,무형서재,대상 제한 없음,22.8.13 ~ 22.8.23,22.9.3 ~ 22.12.31,10명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험","행사 참여, 수료증 및 인증서","문화/역사, 행사/페스티벌",서포터즈,,,,,,,,,,,
100199,[프라이빗클래스] 채용 공고 기반 과제 프로젝트 STEP-UP+ 1기 참여자 모집,스타트업,(주)오오칠팔구,"대학생, 직장인/일반인",22.8.16 ~ 22.9.9,22.8.16 ~ 22.9.9,00명,콘텐츠 기획/제작 경험,"사은품 지급, 수료증 및 인증서","교육, 창업/자기계발","기타, 마케터",,,,,,,,,,,
100201,2022 KOREA DATA-BIZ TRENDS 유튜브 시청 인증 이벤트,기타,한국데이터산업진흥원,대상 제한 없음,22.8.18 ~ 22.8.25,22.8.18 ~ 22.8.25,00명,기타,사은품 지급,기타,기타,,,,,,,,,,,
