인덱스,대외활동명,기업명,기업형태,접수기간,모집인원,우대역량,관심분야,활동분야,활동지역,활동기간,참여대상
69509,유니몬홈트레이닝 온라인 마케터 1기 모집,유니몬홈트레이닝,중소기업,21.9.16 ~ 21.9.30,10명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험",체육/헬스,서포터즈마케터,지역 제한없음,21.10.11 ~ 21.12.15,대학생
69533,네이처리퍼블릭 2021 네리콘테스트 1기 모집,네이처리퍼블릭,중견기업,21.9.13 ~ 21.9.30,2명,기타,뷰티/미용/화장품,기타,지역 제한없음,21.11.1 ~ 22.4.30,대학생
69534,네이처 컨퍼런스 서포터즈 모집,"NATURE, 국제ESG협회",기타,21.9.14 ~ 21.9.22,20명,기타,환경/에너지,서포터즈,지역 제한없음,21.10.8 ~ 21.11.4,대학생
69535,하나원큐 여자농구단 대학생 마케터 '어시스터' 6기 모집,하나원큐 여자농구단,대기업,21.9.16 ~ 21.9.23,15명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 행사 기획 경험",행사/페스티벌체육/헬스,서포터즈마케터,지역 제한없음,21.10.1 ~ 22.3.31,대학생
69536,생활정책연구원 PD ('P'olicy +'D'irector) 모집!,시민이 만드는 생활정책연구원,기타,21.9.3 ~ 21.9.24,6명,기타,정치/사회/법률,기타,지역 제한없음,21.10.1 ~ 22.1.31,대학생
69537,부산청년정책포럼 주관 존리토크콘서트 참가자 모집,부산청년정책포럼,동아리/학생자치단체,21.9.16 ~ 21.10.6,0명,기타,경제/금융,강연,지역 제한없음,21.10.9 ~ 21.10.10,대상 제한 없음
69538,2021 제 7기 조치원 도시재생 청년 서포터즈 모집,조치원역 일원 도시재생뉴딜 현장지원센터,기타,21.9.14 ~ 21.10.1,000명,기타,기타,서포터즈,지역 제한없음,21.10.4 ~ 21.12.23,대학생
69539,2021년 판교환경생태학습원 SNS 그린 서포터즈 모집,판교환경생태학습원,기타,21.9.14 ~ 21.9.28,0명,기타,환경/에너지,서포터즈,경기 성남시,21.10.1 ~ 21.12.31,"대학생, 직장인/일반인"
69540,[청년매칭 프로젝트] '청년농부 in 화성' 참가자 추가모집,화성시청년지원센터 HEY,공공기관/공기업,21.9.15 ~ 21.9.24,10명,기타,콘텐츠사회공헌/교류,기타,경기 화성시,21.10.11 ~ 21.11.30,"대학생, 직장인/일반인"
69554,2021 판타스틱 큐브 서포터즈 모집,부천문화재단,비영리단체/협회/재단,21.9.6 ~ 21.9.19,10명,취재/인터뷰/기사 경험,교육디자인/사진/예술/영상,서포터즈,경기 부천시,21.9.6 ~ 21.9.19,대상 제한 없음
69560,생활고민해결 워크샵 '생활이랑3-주택(주거)편',서울청년센터 마포 오랑,공공기관/공기업,21.9.16 ~ 21.9.29,8명,기타,교육기타,강연,지역 제한없음,21.10.7 ~ 21.10.28,"대학생, 직장인/일반인"
69562,퍼스널 브랜딩 & 취업 포트폴리오 완성 교육생 모집,넥스트유니콘,공공기관/공기업,21.9.8 ~ 21.9.22,15명,기타,경영/컨설팅/마케팅창업/자기계발,강연멘토링,지역 제한없음,21.9.8 ~ 21.9.14,"대학생, 직장인/일반인"
69565,"용산청년지음 몸건강 워크숍 <일상을 건강하게, FROM THE BODY!> 참여자 모집",용산청년지음,공공기관/공기업,21.9.15 ~ 21.9.29,0명,기타,체육/헬스의료/보건,기타,"서울 동작구, 마포구, 성동구, 용산구, 중구",21.10.8 ~ 21.10.22,"대학생, 직장인/일반인"
69569,[고용노동부&한국직업개발원] 영업/영업관리 분야 기업탐방 프로그램 참여자 모집,고용노동부,공공기관/공기업,21.9.16 ~ 21.10.8,0명,기타,교육경영/컨설팅/마케팅,멘토링강연,"서울, 인천, 경기",21.10.7 ~ 21.10.8,직장인/일반인
69573,제2회 전국 대학생 교양 콘테스트,스펙업,-,-,0명,모두 지원 가능,,,-,-,-
69585,2021 서울국악축제 온라인 서포터즈 '악동이' 모집,(주)스탭서울컴퍼니,중소기업,21.9.16 ~ 21.9.26,00명,"파워블로거/SNS, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험",행사/페스티벌디자인/사진/예술/영상,서포터즈봉사단-국내,지역 제한없음,21.10.4 ~ 21.10.20,대상 제한 없음
69586,✨전액 무료✨ [엘리스 SW 엔지니어 트랙 모집] 프론트엔드 개발 교육부터 스타트업 채용 매칭까지! (~9/26),엘리스,중소기업,21.9.6 ~ 21.9.26,00명,"파워블로거/SNS, 컴퓨터 활용능력, 휴학 중/시간 투자 가능",과학/공학/기술/IT창업/자기계발,기타,지역 제한없음,21.9.6 ~ 21.9.26,대상 제한 없음
69592,[인천문화재단] 인천청년별별학교 ‘지구의 내일 그리고 지금의 나’ 참여자 모집 공고,인천문화재단,공공기관/공기업,21.8.20 ~ 21.9.17,00명,기타,디자인/사진/예술/영상환경/에너지,멘토링강연,지역 제한없음,21.9.24 ~ 21.12.23,"대학생, 직장인/일반인"
69593,[한국대학스포츠협의회] KUSF U-스포츠마케팅 러너 교육인원 모집 (~9월 26일까지),한국대학스포츠협의회,비영리단체/협회/재단,21.9.16 ~ 21.9.26,60명,기타,경영/컨설팅/마케팅체육/헬스,서포터즈마케터,지역 제한없음,21.10.9 ~ 21.11.27,대학생
69594,스마트뉴딜 청년 서포터즈를 모집합니다,스마트크리에이터,중소기업,21.9.15 ~ 21.9.24,5명,기타,문화/역사행사/페스티벌,서포터즈,지역 제한없음,21.9.16 ~ 21.10.1,대상 제한 없음
69596,2021 중랑 청년 시장탐험대 참여자 모집 (~09.26),청년뿌리 사회적협동조합,공공기관/공기업,21.9.16 ~ 21.9.26,10명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험",디자인/사진/예술/영상콘텐츠,서포터즈기자단,서울 중랑구,21.10.1 ~ 21.10.31,"대학생, 직장인/일반인"
69598,[TDF] 2D 그래픽 아카데미 교육생 모집,주식회사 티디에프,대기업,21.9.16 ~ 21.10.7,00명,기타,디자인/사진/예술/영상,기타,서울 강남구,21.10.25 ~ 22.1.21,"대학생, 직장인/일반인"
69600,국제청년센터 홍보국 인원추가 모집 (~10/3),국제청년센터,비영리단체/협회/재단,21.9.16 ~ 21.10.3,00명,기타,문화/역사,기타,지역 제한없음,21.10.9 ~ 22.8.31,대학생
69602,그래버 서포터즈 그래비 1기 모집,그레이비랩,중소기업,21.9.16 ~ 21.9.24,10명,"파워블로거/SNS, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 리더십, 타 대외활동 경험",언론/미디어콘텐츠,서포터즈기자단,"서울, 인천, 경기",21.10.1 ~ 21.12.22,대학생
69604,청춘작당 시즌3 스핀오프 '한 달 살기',청춘작당 협동조합,비영리단체/협회/재단,21.9.15 ~ 21.10.5,15명,"파워블로거/SNS, 기타",콘텐츠기타,기타,전라 곡성군,21.10.25 ~ 21.11.19,"대학생, 직장인/일반인"
69610,"[HPGI] 단기 온라인 멘토링 대외활동, 든든멘토 60기 모집 (~9/28)",(주)에이치피지인스티튜트,중소기업,21.9.1 ~ 21.9.28,00명,"멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험",교육콘텐츠,멘토링,지역 제한없음,21.10.1 ~ 21.10.28,대학생
69611,[취업연계교육] 산업용 로봇 운영 전문인력 양성과정 3차 교육생 모집 공고,한국로봇융합연구원,비영리단체/협회/재단,21.9.8 ~ 21.9.22,0명,컴퓨터 활용능력,교육과학/공학/기술/IT,강연멘토링,경상 구미시,21.9.27 ~ 21.10.29,대상 제한 없음
69615,IT 취업교육 온라인 설명회 (아마존AWS클라우드/자바/빅데이터/인공지능),솔데스크,중소기업,21.9.10 ~ 21.9.28,0명,컴퓨터 활용능력,교육과학/공학/기술/IT,강연멘토링,지역 제한없음,21.9.28 ~ 21.9.28,대상 제한 없음
69623,SK 대학생 자원봉사단 SUNNY 2021 하반기 사회변화 프로그램 모집,SK행복나눔재단,비영리단체/협회/재단,21.9.17 ~ 21.9.30,00명,기타,교육환경/에너지,서포터즈봉사단-국내,지역 제한없음,21.10.10 ~ 21.12.26,대상 제한 없음
69638,[청년아카데미] '주거편' 참가자 모집 (ZOOM),화성시청년지원센터 HEY,공공기관/공기업,21.9.17 ~ 모집시 마감,60명,기타,교육,강연,지역 제한없음,21.10.7 ~ 21.10.28,"대학생, 직장인/일반인"
69640,다큐멘터리 전용 OTT 'VoDA' 서포터즈 모집,VoDA,기타,21.9.14 ~ 21.9.26,30명,기타,언론/미디어기타,서포터즈,지역 제한없음,21.10.4 ~ 21.12.19,대상 제한 없음
69641,[2021 창작공간 교육프로그램 – 아트토이 디자인 교육 모집],주식회사촉,중소기업,21.9.13 ~ 21.9.24,10명,기타,디자인/사진/예술/영상,강연,지역 제한없음,21.9.27 ~ 21.10.12,대상 제한 없음
69643,2021 온라인 공정무역 시민 서포터즈 모집,푸른두레생협,기타,21.9.16 ~ 21.9.23,30명,기타,기타,서포터즈,지역 제한없음,21.10.1 ~ 21.11.30,대상 제한 없음
69644,스마트뉴딜 청년 서포터즈 1기 모집,(주)스마트크리에이터,기타,21.9.15 ~ 21.9.26,0명,기타,기타,서포터즈,지역 제한없음,21.10.1 ~ 21.11.30,"대학생, 직장인/일반인"
69646,제16회 김해 뮤직페스티벌 연어 서포터즈 모집,"김해뉴스, 사관법인 맥커뮤니티, 김해문화네트워크",기타,21.9.15 ~ 21.9.25,0명,기타,문화/역사기타,서포터즈,지역 제한없음,21.9.28 ~ 21.10.8,대상 제한 없음
69648,제4회 꿈사진공모전 '나로',MnJ문화복지재단,-,-,0명,모두 지원 가능,,,-,-,-
69654,BBQ 올리버스 봉사단 1기 모집,스카이벤처스,기타,21.9.17 ~ 21.9.29,15명,타 대외활동 경험,사회공헌/교류,봉사단-국내서포터즈,지역 제한없음,21.10.11 ~ 22.10.11,대학생
69655,"[미니인턴 채용공고] 금전거래관리 플랫폼, 페이워크의 개발자를 찾고 있습니다! (~10/4)",오픈놀,중소기업,21.9.17 ~ 21.10.4,00명,기타,경제/금융경영/컨설팅/마케팅,강연멘토링,지역 제한없음,21.10.6 ~ 21.10.20,대학생
69661,[서울시] 자기이해 심화과정 [취준설명서: 면접 기초 특강] 참여자 모집,서울특별시 청년활동지원센터,비영리단체/협회/재단,21.9.17 ~ 21.9.27,00명,기타,기타,멘토링강연,지역 제한없음,21.9.30 ~ 21.10.1,대상 제한 없음
69663,'청년알쓸잡_서울에 나 혼자 산다' 주거법 클래스,용산청년지음,공공기관/공기업,21.9.10 ~ 21.9.23,20명,기타,정치/사회/법률사회공헌/교류,강연기타,지역 제한없음,21.9.10 ~ 21.9.25,대상 제한 없음
69665,홍릉단풍길 스탬프 투어 <단풍길잡이 기획단> 모집 (~9/28),리브위드,중소기업,21.9.17 ~ 21.9.28,8명,"사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험",행사/페스티벌사회공헌/교류,서포터즈봉사단-국내,서울 동대문구,21.10.2 ~ 21.12.5,대상 제한 없음
69667,'청년알쓸잡_오늘부터 제로라이프' 습관형성 챌린저 모집,용산청년지음,공공기관/공기업,21.9.16 ~ 21.9.30,15명,기타,환경/에너지사회공헌/교류,강연멘토링,지역 제한없음,21.10.5 ~ 21.10.12,대상 제한 없음
69668,한국원자력환경공단 제9기 대학생 서포터즈 모집 -코라드를 알려라(코알라)-,한국원자력환경공단 제9기 대학생 서포터즈 운영사무국,기타,21.9.17 ~ 21.10.1,20명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 타 대외활동 경험",디자인/사진/예술/영상과학/공학/기술/IT,서포터즈,지역 제한없음,21.10.1 ~ 21.12.31,대학생
69676,2021 하남덕풍전통재래시장 서포터즈,(주)인트윈,-,-,0명,모두 지원 가능,,,-,-,-
