인덱스,공모전명,기업명,기업형태,시상규모,공모분야,참여대상,접수기간,활동혜택
82633,제15회 강원문학교육 신인문학상 공모,강원문학교육연구회,비영리단체/협회/재단,-,문학/시나리오,직장인/일반인,22.3.1 ~ 22.4.20,상장 수여
82634,제41회 강원문학상,강원도문인협회,비영리단체/협회/재단,500만 원,문학/시나리오,"대학생, 직장인/일반인",22.7.1 ~ 22.7.31,기타
82660,[문화예술공모] 2022년 서울시청 시민청 <시민청예술가> 모집 : 4. 8.(금) 18시 마감,시민청,공공기관/공기업,-,예체능/패션,대상 제한 없음,22.3.21 ~ 22.4.8,기타
82661,"[교육부, 교육청] 학교 교육활동 침해 예방 UCC 공모전",한국교육개발원,공공기관/공기업,260만 원,사진/영상/UCC,청소년,22.4.18 ~ 22.4.29,상장 수여
82705,[휴먼아시아] 2022년 휴먼아시아 대학(원)생 인권논문 공모전 (~8/15),휴먼아시아,비영리단체/협회/재단,500만 원,학술,대학생,22.3.24 ~ 22.8.15,상장 수여
82709,교통안전송 UCC 공모전,비에이비,공공기관/공기업,1000만 원,사진/영상/UCC,대상 제한 없음,22.5.2 ~ 22.5.16,상장 수여
82723,2022년 임상시험 인식개선 콘텐츠 공모전,국가임상시험지원재단,공공기관/공기업,1500만 원,사진/영상/UCC,대상 제한 없음,22.3.28 ~ 22.5.8,"실제상용화, 상장 수여"
82724,제22회 대한민국청소년영화제 출품공모,사단법인 국제청소년영상예술진흥원,비영리단체/협회/재단,2100만 원,사진/영상/UCC,"청소년, 대학생",22.6.1 ~ 22.6.15,"기타, 상장 수여"
82773,2022년도 상반기 주택금융연구 논문 공모,한국주택금융공사,공공기관/공기업,-,학술,"대학생, 직장인/일반인",22.3.4 ~ 22.5.6,기타
82774,제34회 춘천인형극제 참가작 공모,재단법인춘천인형극제,중소기업,1800만 원,디자인/순수미술/공예,대상 제한 없음,22.3.8 ~ 22.4.3,기타
82775,2022 광주자치경찰 브랜딩 공모전,광주광역시,공공기관/공기업,930만 원,디자인/순수미술/공예,대상 제한 없음,22.3.2 ~ 22.4.29,기타
82776,2024 강원 동계청소년올림픽대회 주제가 공모전,2024 강원 동계청소년올림픽대회 조직위원회,비영리단체/협회/재단,490만 원,디자인/순수미술/공예,"청소년, 대학생",22.3.7 ~ 22.4.20,기타
82778,2022 비주얼 크리에이터 서치 프로젝트,두산매거진 (더블유 코리아),중소기업,2000만 원,디자인/순수미술/공예,대상 제한 없음,22.3.21 ~ 22.4.17,기타
82780,제22회 전국호수예술제 공모전,시민신문사,중소기업,300만 원,디자인/순수미술/공예,대상 제한 없음,22.3.15 ~ 22.5.15,기타
82782,2022 완도군 관광기념품 공모전,완도군,비영리단체/협회/재단,1000만 원,디자인/순수미술/공예,대상 제한 없음,22.6.14 ~ 22.6.20,기타
82785,K-Youtuber Festival 2nd (유튜브 영상 공모전),(사)한국유튜버협회,비영리단체/협회/재단,790만 원,사진/영상/UCC,대상 제한 없음,22.3.24 ~ 22.5.31,기타
82786,노잼울산 킹받네 아이디어 공모전,테이스티 / 울산민관협치지원센터,비영리단체/협회/재단,-,기획/아이디어,대상 제한 없음,22.3.23 ~ 22.4.10,기타
82795,2022 제14회 대한민국 청소년 디자인공모전,한국방송예술교육진흥원 평생교육시설,중소기업,60만 원,디자인/순수미술/공예,청소년,22.1.3 ~ 22.7.31,"기타, 상장 수여"
82809,2024-25 임기 한국의 안보리 비상임이사국 진출 관련 콘텐츠 공모전(~5/6),공모전사무국,공공기관/공기업,420만 원,사진/영상/UCC,대상 제한 없음,22.3.25 ~ 22.5.6,기타
82827,제9회 시민청 도시사진전 시민 작품 공모 : 4. 23.(토) 14:00 마감,서울시청 시민청,공공기관/공기업,700만 원,사진/영상/UCC,대상 제한 없음,22.3.25 ~ 22.4.23,"기타, 상장 수여"
82834,"2022년 제8회 장애인식개선공모전 <다시, 봄!> 작품 접수 안내(4/4~5/6)",부산광역시 장애인 종합복지관,비영리단체/협회/재단,-,기획/아이디어,대상 제한 없음,22.4.4 ~ 22.5.11,"기타, 상장 수여"
82853,2022 Azure Virtual Hackathon 마이크로소프트 해커톤 #애저톤,(주)인공지능팩토리,중소기업,1000만 원,해외,대상 제한 없음,22.3.25 ~ 22.5.13,기타
82874,[삼성전자] 삼성전자 생태계 공모전 (~4/30),삼성전자(주),대기업,3100만 원,기획/아이디어,대학생,22.3.25 ~ 22.4.30,기타
82888,KBS 518기념 다큐멘터리 제작을 위한 스토리 공모 '5월 이야기',"KBS, 518기념재단 / (사)전국미디어센터협의회",비영리단체/협회/재단,1900만 원,사진/영상/UCC,대상 제한 없음,22.3.1 ~ 22.4.28,기타
82889,창간 22주년 이데일리 사진공모전 with 할리스,"이데일리,이데일리TV",중견기업,1000만 원,사진/영상/UCC,대상 제한 없음,22.3.2 ~ 22.4.15,기타
82892,2022 미디어 아트 콘텐츠(영상) 공모전,강남구청,중소기업,240만 원,사진/영상/UCC,대상 제한 없음,22.3.24 ~ 22.4.22,기타
82893,제3회 대한민국 등대여행 영상 공모전,"해양수산부,한국항로표지기술원",비영리단체/협회/재단,1750만 원,사진/영상/UCC,대상 제한 없음,22.3.21 ~ 22.4.30,기타
82895,제3회 대한민국 등대 사진 공모전,"해양수산부,한국항로표지기술원",비영리단체/협회/재단,1320만 원,사진/영상/UCC,대상 제한 없음,22.3.21 ~ 22.4.30,기타
82897,제22회 대한민국청소년영화제 작품 공모,(사)국제청소년영상예술진흥원,중소기업,2100만 원,사진/영상/UCC,"청소년, 대학생",22.6.1 ~ 22.6.15,기타
82899,2022 틴에이저 커피&디저트 마스터 대회,(학)숭실호스피탈리티 직업전문학교,비영리단체/협회/재단,-,기타,청소년,22.2.28 ~ 22.7.30,기타
82902,2022 제4회 대청호 벚꽃축제 전국 트로트 가요제,대전 동구 축제추진위원회,비영리단체/협회/재단,200만 원,디자인/순수미술/공예,대상 제한 없음,22.3.16 ~ 22.3.31,기타
82940,진로 두꺼비 스타일링 콘테스트,하이트진로,대기업,500만 원,광고/마케팅,대상 제한 없음,22.3.28 ~ 22.4.17,기타
82942,[다이슨] 국제 엔지니어링 및 디자인 공모전 제임스 다이슨 어워드(~7/7),다이슨코리아,대기업,1억 1360만 원,디자인/순수미술/공예,대학생,22.3.21 ~ 22.7.7,기타
82951,소·돼지 부산물 활용 요리공모 <독산레시피>,독산동우시장일대 도시재생지원센터,공공기관/공기업,35만 원,기획/아이디어,대상 제한 없음,22.3.28 ~ 22.4.12,기타
82953,2022년 『덕성 캠퍼스타운 K-Culture 캐릭터 공모전』 모집공고,덕성여자대학교캠퍼스조성단,기타,1200만 원,캐릭터/만화/게임,"대학생, 직장인/일반인",22.4.1 ~ 22.5.16,기타
82963,2022 의약품 불법유통 근절 영상 공모전,생각나눔소,중소기업,260만 원,기획/아이디어,대상 제한 없음,22.3.28 ~ 22.4.28,실제상용화
82967,제7회 세계청소년올림피아드 2022 (Korea International Youth Olympiad),세계여성발명·기업인협회,비영리단체/협회/재단,-,기획/아이디어,"청소년, 대학생",22.6.10 ~ 22.7.10,"기타, 상장 수여"
82980,계명대학교 제42회 계명문학상 작품 현상 공모,계명대학교,기타,1100만 원,문학/시나리오,대학생,22.4.1 ~ 22.8.31,상장 수여
82983,[문화재청] 2022 문화재돌봄 콘텐츠 공모전,운영사무국,공공기관/공기업,800만 원,광고/마케팅,대상 제한 없음,22.3.28 ~ 22.5.2,기타
83001,제42주년 5·18민중항쟁기념행사위원회 포스터 공모,제42주년5.18민중항쟁기념행사위원회,비영리단체/협회/재단,450만 원,디자인/순수미술/공예,대상 제한 없음,22.3.8 ~ 22.4.3,"실제상용화, 상장 수여"
83004,[공연단체 모집]서울시 2022 공연봄날 공연단체 모집 공고,한글로벌컨버전스,중소기업,-,사진/영상/UCC,대상 제한 없음,22.3.24 ~ 22.4.8,기타
83023,2022 상상마당 코코챌린지,KT&G상상마당,중견기업,4000만 원,기획/아이디어,대상 제한 없음,22.3.28 ~ 22.4.24,"실제상용화, 상장 수여"
83024,리얼리서치와 친구 맺고 경품 받아 봄,미디어리얼리서치코리아,중소기업,300만 원,광고/마케팅,대상 제한 없음,22.3.28 ~ 22.4.10,기타
83039,2022 업사이클 제품디자인 공모전,"한국업사이클협회 / 업사이클협회, FXCO",비영리단체/협회/재단,250만 원,디자인/순수미술/공예,대상 제한 없음,22.3.25 ~ 22.4.18,기타
83041,부천시 해밀도서관 2022 시각장애인 인식개선 공모전,부천시 해밀도서관,기타,-,디자인/순수미술/공예,대상 제한 없음,22.4.11 ~ 22.5.8,상장 수여
83045,2022 경북대학교 메타버스랜선 노래 콘서트,경북대학교 / 스마트크리에이터,기타,-,디자인/순수미술/공예,대학생,22.3.28 ~ 22.4.1,기타
83048,50+ 행복한 인생2막 슬로건손글씨 공모전,인천고령사회대응센터,비영리단체/협회/재단,70만 원,문학/시나리오,대상 제한 없음,22.3.29 ~ 22.4.28,기타
83050,제 1회 테라코믹스 단편 웹툰 공모전,테라코믹스,외국계기업,1280만 원,디자인/순수미술/공예,대상 제한 없음,22.3.28 ~ 22.5.5,기타
83052,KBS바다 홍보 영상 공모전,KBS아카이브,기타,-,사진/영상/UCC,대상 제한 없음,22.3.28 ~ 22.4.29,기타
83054,강동구립천호청소년문화의집 로고 공모전,강동구립천호청소년문화의집,비영리단체/협회/재단,-,디자인/순수미술/공예,대상 제한 없음,22.3.16 ~ 22.4.11,기타
83055,제14회 대전광역시 공공디자인 공모전,대전광역시,공공기관/공기업,1700만 원,디자인/순수미술/공예,대상 제한 없음,22.6.20 ~ 22.6.24,기타
