,인덱스,기업명,관심분야,경영컨설팅마케팅,경제금융,과학공학기술IT,교육,문화역사,뷰티미용화장품,사회공헌교류,언론미디어,여행호텔항공,요리식품,의료보건,정치사회법률,창업자기계발,행사페스티벌,환경에너지,기타체육헬스,디자인사진예술영상콘텐츠,우대역량,리더십,멘토링/수업 진행 경험,모두 지원 가능,사진/영상/디자인 툴,외국어,우대역량_기타,취재/인터뷰/기사 경험,컴퓨터 활용능력,콘텐츠 기획/제작 경험,타 대외활동 경험,파워블로거/SNS,행사 기획 경험,휴학 중/시간 투자 가능,모집 인원,모집인원규모
326,54984,(사)더나은세상   ,문화역사,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"멘토링/수업 진행 경험, 리더십",1,1,0,0,0,0,0,0,0,0,0,0,0,5,소
327,54985,조인어스코리아   ,콘텐츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 외국어",0,0,0,1,1,0,1,0,1,0,1,0,0,9,소
328,54989,주식회사 넥스링고,교육,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,50,중
329,54990,(주)드래곤리퍼블릭,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,15,소
330,54992,아식스,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,9,소
331,54993,부산지방보훈청,정치사회법률,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,99,중
332,54994,림멜 코리아,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,60,중
333,54995,세종특별자치시,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,99,중
334,54997,초록우산어린이재단   ,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험",0,0,0,1,0,0,0,0,1,1,1,1,1,99,중
335,54998,밀텍하우스,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,17,소
