,idx,foundation,scholarship_type,근로장학,기숙사/주거지원,기타장학,대출지원,연수/연구장학,장학금,취업연계/산학장학,target,고등학생,기타/일반,대학생,대학원생,전문대생,중학생,청년,초등학생,선발 인원(명),선발인원규모,장학혜택(만원),장학혜택규모,memo
3108,5437,렛츠런재단,기숙사/주거지원,0,1,0,0,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,14,중,0,금액미정,한국마사회에서 농업인(자녀) 및 농촌 출신 대학생에게 주거복지를 지원하는 기숙사입니다.
3109,5438,한국장학재단,"장학프로그램, 기타장학",0,0,1,0,0,0,0,"중학생, 고등학생, 대학생",1,0,1,0,0,1,0,0,300,대,10,소,"한국장학재단에서 선, 후배 장학생 간의 정서적 유대감을 형성하고 상호 성장의 기회를 제공하고자 마련한 멘토링 활동입니다."
3110,5439,성련장학재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,0,금액미정,성련장학재단에서 재정적으로 곤란한 가정 형편에서 공부하는 능력있고 성실한 학생들을 지원하는 장학금입니다.
3111,5440,서울시,기타장학,0,0,1,0,0,0,0,"대학생, 대학원생, 청년",0,0,1,1,0,0,1,0,50,중,0,금액미정,서울시에서 콘텐츠 분야 신진 청년 창작자를 발굴하고 창업역량을 키우기 위해 지원하는 사업입니다.
3112,5441,용인문화재단,"장학금, 기타장학",0,0,1,0,0,1,0,고등학생,1,0,0,0,0,0,0,0,0,인원미정,0,금액미정,용인문화재단에서 예술가를 꿈꾸는 용인 지역 저소득층 및 북한 이탈 고등학생들에게 예술 교육비를 지원하는 사업입니다.
3113,5442,소나무장학회,장학금,0,0,0,0,0,1,0,"대학생, 대학원생",0,0,1,1,0,0,0,0,0,인원미정,300,대,"소나무장학회에서 최소 6개월간 장학회 프로그램에 참여가 가능한 20대 대학생, 대학원생을 지원하는 장학금입니다."
3114,5443,한국전력전우회,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,100,대,300,대,"한전전우회에서 나눔의 실천과 사회적 책임의 일환으로 제이비씨의 도서발전소가 있는 섬 지역 우수학생을 지원해 인재를 양성하고, 지역 사회 협력 강화를 지원하는 장학금입니다."
3115,5444,OK배정장학재단,장학금,0,0,0,0,0,1,0,"대학생, 대학원생",0,0,1,1,0,0,0,0,0,인원미정,200,중,OK배정장학재단에서 미래의 글로벌 미래를 꿈꾸는 대학생 및 대학원생을 응원하는 장학금입니다.
3116,5445,웰컴금융그룹,장학금,0,0,0,0,0,1,0,"중학생, 고등학생, 대학생, 전문대생",1,0,1,0,1,1,0,0,99,대,230,대,웰컴금융그룹은 한국방정환재단과 함깨 경제적 어려움으로 장학금이 필요한 중·고·대학생 고객자녀의 학자금을 지원하는 장학사업입니다.
3117,5446,한국장학재단,기숙사/주거지원,0,1,0,0,0,0,0,"대학생, 전문대생, 대학원생",0,0,1,1,1,0,0,0,0,인원미정,0,금액미정,경기도 고양시에 위치한 한국장학재단-은행권 대학생 연합기숙사의 신규 기숙사생 수시 모집입니다.
3118,5447,군포시,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,254,대,군포시에서 급격한 물가상승에 따라 어려움을 겪고 있는 저소득층의 생활 안정 및 소비여력 제고를 위해 지원하는 사업입니다.
3119,5448,밝은성모안과의원,기타장학,0,0,1,0,0,0,0,"대학생, 전문대생, 대학원생, 청년",0,0,1,1,1,0,1,0,0,인원미정,0,금액미정,밝은성모안과에서 드림스폰 회원들을 위해 라식라섹 최대 49% 할인 혜택을 제공하고자 합니다.
3120,5451,경북도립대학교,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,22,중,30,소,경북도립대학교에서 경북 발전에 이바지할 지역 출신 우수인재 발굴 육성을 위해 지원하는 장학금입니다.
3121,5452,광진구,장학금,0,0,0,0,0,1,0,"고등학생, 대학생",1,0,1,0,0,0,0,0,52,대,250,대,"광진구에서 광진구 출신 고등학생, 대학생 총 52명을 지원하는 장학금입니다."
3122,5453,(재)불광장학회,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,0,금액미정,"불광장학회에서 범종교적, 범사회적으로 국가와 민족의 미래를 이끌어갈 인재를 지원하기 위한 장학금입니다."
3123,5454,경기도평생교육진흥원,기숙사/주거지원,0,1,0,0,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,12,중,0,금액미정,경기도 거주 대학생에게 안정적인 기숙 제공과 경제적 부담 완화 등 수학의 편의를 제공하기 위해 기숙시설 경기도송파학사에 입사할 기회를 주는 경기도평생교육진흥원의 지원사업입니다.
3124,5455,이니스프리 모음재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,5,소,200,중,이니스프리 모음재단에서 감귤 관련 학과 학부생 5명에게 최대 200만원을 지원하는 장학금입니다.
3125,5456,한국장학재단,대출지원,0,0,0,1,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,0,인원미정,0,금액미정,한국장학재단에서 농어업인 교육비 부담 경감 및 농어촌 출신 대학생에 대한 균등한 교육 기회를 제공하는 사업입니다.
3126,5457,실로암시각장애인복지관,장학금,0,0,0,0,0,1,0,"대학생, 대학원생",0,0,1,1,0,0,0,0,0,인원미정,0,금액미정,실로암시각장애인복지관에서 시각장애인 차세대 리더 양성을 위해 시각장애 대학생을 지원하는 장학금입니다.
3127,5458,서암윤세영재단,"장학금, 연수/연구장학",0,0,0,0,1,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,700,대,"서암 윤세영 재단에서 대학생에게 등록금 전액, 미래 준비금, 해외 인문학 탐방 기회를 제공하는 장학 사업입니다."
3128,5459,전라북도 서울장학숙,기숙사/주거지원,0,1,0,0,0,0,0,"대학생, 대학원생, 청년",0,0,1,1,0,0,1,0,46,중,0,금액미정,전라북도 서울장학숙에서 전북도민의 자녀인 각종 고시준비생에게 학업에 전념할 수 있도록 제반편의를 제공하는 사업입니다.
3129,5460,여주시,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,100,소,여주시에서 여주시 예술인의 안정적인 창작활동을 지원하기 위해 최대 100만원을 지원하는 사업입니다.
3130,5461,성남시,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,100,소,성남시에서 성남시 예술인의 안정적인 창작활동을 지원하기 위해 최대 100만원을 지원하는 사업입니다.
3131,5462,한국다문화청소년협회,장학금,0,0,0,0,0,1,0,"초등학생, 중학생, 고등학생, 대학생",1,0,1,0,0,1,0,1,80,대,500,대,한국다문화청소년협회에서 어려운 환경에 있는 다문화 아동청소년들이 꿈과 희망을 가지고 미래를 설계해 나갈 수 있도록 함으로써 글로벌 인재로 성장할 수 있도록 지원하는 장학금입니다.
3132,5463,(사)더 라이트 핸즈,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,800,대,더 라이트 핸즈에서 국내 4년제 대학 2~4학년 재학생에게 최대 800만원을 지원하는 장학금입니다.
3133,5464,한국학중앙연구원,장학금,0,0,0,0,0,1,0,기타/일반,0,1,0,0,0,0,0,0,3,소,0,금액미정,한국학중앙연구원에서 잠재력을 지닌 우수한 인재를 선발해 한국학 분야의 차세대 학자로 육성하기 위해 지원하는 장학사업입니다.
3134,5465,보건장학회,연수/연구장학,0,0,0,0,1,0,0,"대학원생, 기타/일반",0,1,0,1,0,0,0,0,99,대,500,대,"보건장학회에서 국내에 소재한 보건분야의 대학원, 연구소 등에서 보건관련 연구를 계획하고 있는 자를 지원하는 사업입니다."
3135,5466,동대문구,기타장학,0,0,1,0,0,0,0,청년,0,0,0,0,0,0,1,0,4000,대,10,소,동대문구에서 청년 취업역량 강화 및 적극적인 구직활동 촉진을 위해 미취업청년의 구직을 위한 자격취득 활동을 지원하는 사업입니다.
3136,5467,보건장학회,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,999,대,250,대,보건장학회에서 국내 4년제 이상 대학의 보건의료 관련 학과 전공 재학생들에게 최대 250만원의 학업지원금을 지원하는 장학금입니다.
3137,5468,교보생명,"장학프로그램, 기타장학",0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,2000,대,"교보생명에서 당사와의 협업이나 사업화, 후속 프로세스에 중점을 둔 이노스테이지 정기프로그램의 확장된 사업입니다."
3138,5469,웅진씽크빅,장학프로그램,0,0,0,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,3000,대,웅진씽크빅에서 학습데이터를 기반으로 아이들의 수학 학습에 재미를 더하고 학습 효과를 높여 주기 위해 실시하는 게임 개발 공모전입니다.
3139,5470,아주대학교,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,9,소,150,중,아주대학교 병원에서 림프암으로 세상을 떠나신 김수정 양의 뜻에 따라 김중권 기부자님과 서호영 사모님께서 정성껏 마련해 아주대학교 학생들에게 매학기 지급하는 장학금입니다.
3140,5471,가송재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,500,대,가송재단에서 가정형편이 곤란하고 품행이 단정하여 타의 모범이 되는 학생을 지원하는 장학금입니다.
3141,5472,창업진흥원,기타장학,0,0,1,0,0,0,0,청년,0,0,0,0,0,0,1,0,100,대,500,대,창업진흥원에서 생애 최초로 창업에 도전하는 예비창업자의 창업 준비를 지원하는 사업입니다.
3142,5473,제주더큰내일센터,"취업연계/산학장학, 기타장학",0,0,1,0,0,0,1,"청년, 기타/일반",0,1,0,0,0,0,1,0,75,대,0,금액미정,"청년의 가능성을 제주의 내일로 연결하고자하는 제주더큰내일센터의 체계적인 취, 창업 교육 훈련 프로그램입니다."
