,idx,company_type,공공기관/공기업,기업형태_기타,대기업,비영리단체/협회/재단,중견기업,중소기업,field,UCC,건설,건축,게임,공모분야_기타,공예,공학,과학,광고,기획,네이밍,디자인,마케팅,만화,문학,사진,순수미술,슬로건,시나리오,아이디어,영상,예체능,인테리어,창업,캐릭터,패션,학술,target,대상 제한 없음,대학생,직장인/일반인,청소년,benefit,기타,상장 수여,실제상용화,인턴/정규직채용,입사시 가산점,전시기회,해외연수,시상규모(만원),시상 규모
52,80871,중소기업,0,0,0,0,0,1,사진/영상/UCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,청소년,0,0,0,1,"기타, 상장 수여",1,1,0,0,0,0,0,0,시상규모미정
53,80872,비영리단체/협회/재단,0,0,0,1,0,0,네이밍/슬로건,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,기타,1,0,0,0,0,0,0,20,소
54,80873,공공기관/공기업,1,0,0,0,0,0,네이밍/슬로건,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,"실제상용화, 기타",1,0,1,0,0,0,0,140,소
55,80927,공공기관/공기업,1,0,0,0,0,0,사진/영상/UCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"대학생, 직장인/일반인",0,1,1,0,"기타, 상장 수여",1,1,0,0,0,0,0,110,소
56,80930,비영리단체/협회/재단,0,0,0,1,0,0,기획/아이디어,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,"기타, 상장 수여",1,1,0,0,0,0,0,4000,대
57,80946,중소기업,0,0,0,0,0,1,예체능/패션,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,대상 제한 없음,1,0,0,0,"실제상용화, 기타",1,0,1,0,0,0,0,100,소
58,80965,대기업,0,0,1,0,0,0,기획/아이디어,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,대학생,0,1,0,0,"입사시 가산점, 상장 수여",0,1,0,0,1,0,0,2650,대
59,80969,기업형태_기타,0,1,0,0,0,0,기획/아이디어,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,대학생,0,1,0,0,기타,1,0,0,0,0,0,0,0,시상규모미정
60,80972,중소기업,0,0,0,0,0,1,디자인/순수미술/공예,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,청소년,0,0,0,1,기타,1,0,0,0,0,0,0,185,소
61,81002,공공기관/공기업,1,0,0,0,0,0,학술,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,대학생,0,1,0,0,기타,1,0,0,0,0,0,0,1000,대
62,81006,중소기업,0,0,0,0,0,1,문학/시나리오,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,기타,1,0,0,0,0,0,0,300,중
63,81046,비영리단체/협회/재단,0,0,0,1,0,0,디자인/순수미술/공예,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,기타,1,0,0,0,0,0,0,0,시상규모미정
64,81047,기업형태_기타,0,1,0,0,0,0,사진/영상/UCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,상장 수여,0,1,0,0,0,0,0,200,소
65,81049,중소기업,0,0,0,0,0,1,문학/시나리오,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,기타,1,0,0,0,0,0,0,250,소
66,81050,공공기관/공기업,1,0,0,0,0,0,문학/시나리오,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,상장 수여,0,1,0,0,0,0,0,420,중
67,81051,비영리단체/협회/재단,0,0,0,1,0,0,문학/시나리오,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,청소년,0,0,0,1,상장 수여,0,1,0,0,0,0,0,0,시상규모미정
68,81053,중소기업,0,0,0,0,0,1,사진/영상/UCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,기타,1,0,0,0,0,0,0,350,중
