,id,activity_name,recruit,prefer,activity_benefit,interests,fields,경영/컨설팅/마케팅,경제/금융,과학/공학/기술/IT,교육,기타,디자인/사진/예술/영상,문화/역사,뷰티/미용/화장품,사회공헌/교류,언론/미디어,여행/호텔/항공,요리/식품,유통/물류,의료/보건,정치/사회/법률,창업/자기계발,체육/헬스,콘텐츠,행사/페스티벌,환경/에너지,교통비,봉사활동시간,사은품 지급,수료증 및 인증서,실무 교육,인턴쉽 기회,입사시 혜택,전문가/임직원 멘토링,행사 참여,활동비,fields_기타,강연,기자단,마케터,멘토링,봉사단-국내,봉사단-해외,서포터즈,해외탐방-무료,해외탐방-유료,리더십,멘토링/수업 진행 경험,사진/영상/디자인 툴,외국어,우대역량_기타,취재/인터뷰/기사 경험,컴퓨터 활용능력,콘텐츠 기획/제작 경험,타 대외활동 경험,파워블로거/SNS,행사 기획 경험,휴학 중/시간 투자 가능,모집 인원,모집인원규모
1692,126983,[서울시자원봉사센터] 서울동행 대학별 대표단 2차 모집(~4/2),13명,우대역량_기타,"수료증 및 인증서, 봉사활동시간","행사/페스티벌, 사회공헌/교류",봉사단-국내,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,소
1693,126985,[위포트]삼성 GSAT 10일완성 온라인 빡공캠프 2기 모집,100명,우대역량_기타,사은품 지급,"교육, 기타","fields_기타, 멘토링",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,중
1694,126986,프로메가 서포터즈 시즌3 모집,50명,파워블로거/SNS,"활동비, 행사 참여",의료/보건,서포터즈,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,중
1695,126989,"서울청년센터 성동오랑, <청년홍보기획단 레비츠> 대외활동 크루 참여자 모집",10명,"사진/영상/디자인 툴, 타 대외활동 경험","활동비, 수료증 및 인증서","행사/페스티벌, 사회공헌/교류","기자단, 서포터즈",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,소
1696,126991,제16기 저스티스 서포터스 모집,170명,"파워블로거/SNS, 콘텐츠 기획/제작 경험","활동비, 봉사활동시간","언론/미디어, 정치/사회/법률",서포터즈,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,170,대
1697,127001,빵둥이마라톤 <빵빵런2023> 자원봉사자 모집(~4/12),00명,행사 기획 경험,"사은품 지급, 수료증 및 인증서",행사/페스티벌,봉사단-국내,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,중
1698,127005,[온라인 활동] 초보자도 할 수 있는 펀딩 프로그램 모집,30명,"파워블로거/SNS, 사진/영상/디자인 툴, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 리더십, 휴학 중/시간 투자 가능","실무 교육, 전문가/임직원 멘토링","창업/자기계발, 콘텐츠","서포터즈, 마케터",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,30,중
1699,127009,[국비무료/채용연계] PLC 현장기기 제어 전문가 양성과정,20명,우대역량_기타,"활동비, 수료증 및 인증서","과학/공학/기술/IT, 창업/자기계발",fields_기타,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,소
1700,127010,국립광주박물관 제13기 대학생 서포터즈 모집,10명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 휴학 중/시간 투자 가능, 타 대외활동 경험","활동비, 수료증 및 인증서","문화/역사, 디자인/사진/예술/영상","서포터즈, 기자단",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,10,소
1701,127011,[문체부 후원 대학생 언어 · 문화 봉사단] bbb 프로보노 30기 모집,18명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험","수료증 및 인증서, 입사시 혜택","디자인/사진/예술/영상, 콘텐츠","봉사단-국내, 서포터즈",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,18,소
1702,127012,2023 청소년미디어콘텐츠제작단,20명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험","수료증 및 인증서, 봉사활동시간","언론/미디어, 콘텐츠","서포터즈, 기자단",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,20,소
1703,127020,KT&G복지재단 한강 플로깅 준비스탭 모집,5명,"콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능",봉사활동시간,"행사/페스티벌, 환경/에너지",봉사단-국내,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,소
1704,127024,❗ 3차 ❗ 원어민 영어 회화 교실 참여자 접수 안내 ( ~ 3/26/일 ) ( D-2 ! ),00명,우대역량_기타,행사 참여,기타,fields_기타,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
